Name;Number;longitude;latitude;;;;
  Saint-Alexandre / Sainte-Catherine (Stationnement du Gesù);6081;-73.566379;45.505;;;;
 Bordeaux/Laurier;6236;-73.579291;45.537456;;;;
10e Avenue / Masson;6368;-73.573755;45.550321;;;;
10e Avenue / Rosemont;6919;-73.581185;45.552649;;;;
12e Avenue / Saint-Zotique;6357;-73.58925;45.556905;;;;
15e Avenue / Laurier;6374;-73.569531;45.553408;;;;
16e avenue/Rosemont;6006;-73.577684;45.556752;;;;
18e av/beaubien;6033;-73.582429;45.559761;;;;
18e Avenue / Saint-Joseph;6376;-73.564742;45.554165;;;;
19e/St-Zotique;6704;-73.585643;45.561594;;;;
1ere Avenue / Beaubien;6361;-73.590446;45.550476;;;;
1ere Avenue / Rosemont;6362;-73.58523;45.547997;;;;
26e/beaubien;6723;-73.577639;45.564944;;;;
28e ave/Rosemont;6731;-73.571244;45.564353;;;;
30e / St-Zotique;6713;-73.57943594;45.56822507;;;;
35e/beaubien;6730;-73.573047;45.570081;;;;
3e Avenue / Dandurand;6367;-73.579221;45.547362;;;;
4e Avenue / Masson;6371;-73.575515;45.546978;;;;
5e ave/Bannantyne;6705;-73.57614;45.456365;;;;
5e ave/Verdun;6309;-73.571877;45.456049;;;;
6e avenue /St-Zotique;6358;-73.592336;45.553243;;;;
6e avenue/Rosemont;6082;-73.582883;45.550613;;;;
8e Avenue / Beaubien;6360;-73.58752;45.553215;;;;
9e Avenue / Dandurand;6918;-73.57711;45.550769;;;;
9e Avenue / Saint-Joseph;6373;-73.569351;45.548327;;;;
Agnes/Guay;6414;-73.585989;45.479582;;;;
Alexandra/Waverly;6711;-73.617842;45.531938;;;;
Alexandre de Sève / La Fontaine;6123;-73.558187;45.523217;;;;
Alexandre-DeSève / Maisonneuve;6113;-73.55534;45.5219;;;;
Alma / Beaubien;6915;-73.606655;45.532396;;;;
Argyle / Sherbrooke;6436;-73.5959;45.486;;;;
Atwater / Sherbrooke;6093;-73.58780980110168;45.49132174886071;;;;
Ave Notre Dame de Grâce / Décarie;6416;-73.615327;45.477313;;;;
Aylwin / Ontario;6391;-73.545609;45.544136;;;;
Bannantyne /de l'Eglise;6379;-73.575621;45.463257;;;;
Basile Routhier/Gouin;6736;-73.670771;45.556697;;;;
Basile-Routhier / Chabanel;6917;-73.647982;45.549949;;;;
Basile-Routhier / Crémazie;6410;-73.637951;45.547009;;;;
Beatty/Verdun;6706;-73.572446;45.450837;;;;
Beaucourt /Cote Ste-Catherine;6419;-73.633649;45.491513;;;;
Belair/St-Antoine;6029;-73.584352;45.482843;;;;
Bélanger / Saint-Denis;6249;-73.61199;45.53696;;;;
Bellechasse/St-Valier;6908;-73.601221;45.533473;;;;
Belmont / Beaver Hall;6053;-73.565138;45.502326;;;;
Benny/ Monkland;6115;-73.631664;45.466965;;;;
Berlioz/Boul de l'Ile des Soeurs;6428;-73.544377;45.459593;;;;
Bernard / Clark;6234;-73.60261;45.52697;;;;
Bernard / Jeanne-Mance;6233;-73.60484719276428;45.52429587282263;;;;
Berri / de Maisonneuve;6015;-73.561273;45.515299;;;;
Berri / Saint-Antoine;6004;-73.55393081903458;45.51205360327094;;;;
Berri / Sainte-Catherine;6009;-73.55977535247803;45.51462481358633;;;;
Berri / Sherbrooke;6019;-73.567205;45.517836;;;;
Berri/St-Grégoire;6192;-73.591766;45.529802;;;;
Birnam /Jean Talon;6746;-73.625554;45.524814;;;;
Bishop / de Maisonneuve;6099;-73.57791245;45.49742103;;;;
Bishop / Sainte-Catherine;6098;-73.57616;45.49642;;;;
Bloomfield / Bernard;6243;-73.606786;45.519861;;;;
Bloomfield / Van Horne;6245;-73.61265779;45.5225858;;;;
Bordeaux / Saint-Zotique;6272;-73.598442;45.546526;;;;
Bordeaux/Gilford;6385;-73.57641;45.536178;;;;
Bossuet/Pierre de coubertain;6722;-73.539659;45.573906;;;;
Boul Lasalle/Alepin;6714;-73.588711;45.432826;;;;
Boul Maisonneuve/Greene;6432;-73.58929306;45.48697062;;;;
Boyer / Beaubien;6910;-73.602026;45.537041;;;;
Boyer / Bélanger;6254;-73.60897;45.54006;;;;
Boyer / Jarry;6338;-73.625377;45.547283;;;;
Boyer / Jean-Talon;6389;-73.612441;45.541484;;;;
Boyer / Mont-Royal;6186;-73.58002;45.52743;;;;
Boyer / Rosemont;6907;-73.595478;45.534136;;;;
Boyer / Saint-Zotique;6255;-73.60556;45.53848;;;;
Brébeuf / Laurier;6165;-73.58507;45.53248;;;;
Brébeuf / Saint-Grégoire;6166;-73.58852;45.5341;;;;
Briand/Carron;6742;-73.59665;45.462362;;;;
Bullion / Mont-Royal;6182;-73.5851;45.5215;;;;
Cadillac/Sherbrooke;6721;-73.546783;45.577021;;;;
Calixa Lavalée / Rachel;6142;-73.572056;45.527791;;;;
Calixa-Lavallée / Sherbrooke;6147;-73.56545;45.52479;;;;
Cartier / Bélanger;6273;-73.602616;45.546939;;;;
Cartier / Saint-Joseph;6161;-73.57867;45.53576;;;;
Cartier/Marie-Anne;6153;-73.571776;45.532674;;;;
Cartier/Masson;6197;-73.583502;45.537985;;;;
Cartier/Rosemont;6421;-73.590943;45.541198;;;;
Casgrain / de Bellechasse;6271;-73.604214;45.529993;;;;
Casgrain / Saint-Zotique;6247;-73.61108;45.53304;;;;
Chabot / Bellechasse;6264;-73.59212;45.5427;;;;
Chabot / Mont-Royal;6152;-73.57349216938019;45.53413436610843;;;;
Chabot/Everett;6189;-73.609477;45.550634;;;;
Chambly / Rachel;6364;-73.558292;45.549639;;;;
Chambord / Beaubien;6268;-73.599716;45.539964;;;;
Chambord / Bélanger;6276;-73.606585;45.543077;;;;
Chambord / Jean-Talon;6275;-73.610458;45.544828;;;;
Champagneur/Jean Talon;6728;-73.624331;45.526904;;;;
Champlain / Ontario;6118;-73.56003552675247;45.52504753729988;;;;
Chapleau / Mont-Royal;6149;-73.56936;45.53867;;;;
Chateaubriand / Beaubien;6912;-73.603522;45.535431;;;;
Chauveau/Assomption;6702;-73.548081;45.569789;;;;
Cherrier / Berri;6173;-73.5692414;45.5191458;;;;
Chomedey / de Maisonneuve;6095;-73.5838;45.49156;;;;
Clark / Saint-Viateur;6199;-73.5993754863739;45.52517156097331;;;;
Clark/Prince Arthur;6411;-73.57295;45.513338;;;;
Clark/Rachel;6181;-73.582648;45.516853;;;;
Coleraine/Butler;6349;-73.565231;45.474165;;;;
Collège Édouard-Montpetit;5006;-73.4954;45.5368;;;;
Coloniale/ Mont-Royal;6229;-73.585514;45.52102;;;;
Complexe sportif Claude-Robillard (émile Journault);6412;-73.638615;45.553262;;;;
Côte St-Antoine/Royal;6363;-73.6198;45.4688;;;;
Crescent / René-Lévesque;6092;-73.57348;45.49606;;;;
D'Orléans / Hochelaga;6388;-73.549502;45.550668;;;;
D'Orléans / Masson;6370;-73.569847;45.557192;;;;
Dandurand/De Lorimier;6259;-73.584157;45.540881;;;;
Dandurand/Papineau;6260;-73.586302;45.538589;;;;
Darling / Sherbrooke;6384;-73.556527;45.545425;;;;
Darlington / Côte-Sainte-Catherine;6310;-73.621215;45.505514;;;;
Davaar / Côte-Sainte-Catherine;6305;-73.610871;45.514379;;;;
de Bordeaux / Beaubien;6267;-73.5949;45.54475;;;;
de Bordeaux / Jean-Talon;6924;-73.60551238059998;45.54970407823863;;;;
de Bordeaux / Rachel;6141;-73.56828;45.53227;;;;
de Bordeaux / Sherbrooke;6129;-73.56317639350891;45.53002706078813;;;;
de Bullion / Boul. Saint-Joseph;6195;-73.58978;45.52377;;;;
De Gaspé / De Liège;6332;-73.636557;45.542579;;;;
De Gaspé / Jarry;6330;-73.630089;45.540627;;;;
De Gaspé / Marmier;6051;-73.601728;45.529686;;;;
de l'Esplanade / Mont-Royal;6222;-73.587772;45.518228;;;;
de l'Hôtel-de-Ville / Sainte-Catherine;6007;-73.5621839761734;45.51164009357107;;;;
De l'Hôtel-de-Ville / Sherbrooke;6021;-73.56847107410431;45.51453083866944;;;;
de la Commune / Berri;6023;-73.54983;45.51086;;;;
De la Commune / King;6052;-73.552802;45.497438;;;;
de la Commune / McGill;6050;-73.55232;45.49886;;;;
de la Commune / Place Jacques-Cartier;6026;-73.5520076751709;45.50719279267449;;;;
de la Commune / Saint-Sulpice;6036;-73.55360627174377;45.50406856984278;;;;
Square Phillips;6083;-73.5686929;45.5041581;;;;
de la Gauchetière / Mansfield;6046;-73.56671;45.49871;;;;
de la Gauchetière / University;6042;-73.565354;45.500675;;;;
de la montagne / Sherbrooke;6065;-73.57869;45.499532;;;;
de la Roche /  Bellechasse ;6262;-73.597884;45.537202;;;;
De La Roche / Everett;6340;-73.614841;45.544867;;;;
de la Roche / Mont-Royal;6157;-73.57828;45.52856;;;;
De la Roche/St-Joseph;6274;-73.583695;45.531164;;;;
De Lanaudiere/Marie-Anne;6314;-73.574777;45.529219;;;;
de Liège / Lajeunesse;6324;-73.6347484588623;45.54554155627702;;;;
de Maisonneuve / Aylmer;6073;-73.57069;45.50501;;;;
de Maisonneuve / de Bleury;6078;-73.56917;45.50708;;;;
de Maisonneuve / Mackay;6100;-73.57851;45.49659;;;;
de Maisonneuve / Stanley;6064;-73.57507;45.50038;;;;
de Maisonneuve / University;6067;-73.572103;45.503475;;;;
de Mentana / Laurier;6170;-73.58677;45.530046;;;;
de Normanville / Saint-Zotique;6269;-73.60384;45.54083;;;;
des Écores / Jean-Talon;6925;-73.60300183296204;45.55244260913485;;;;
des Érables / Mont-Royal;6151;-73.57172;45.53565;;;;
Des Érables/ Sherbrooke;6024;-73.562624;45.531367;;;;
Des érables/Bélanger;6185;-73.601006;45.549286;;;;
des Seigneurs / Notre-Dame;6401;-73.568868;45.487676;;;;
Desjardins / Ontario;6398;-73.540764;45.551119;;;;
Desjardins/Hochelaga;6417;-73.54822;45.55325;;;;
Dézery/Ste-Catherine;6002;-73.541019;45.539185;;;;
Dorion / Ontario;6119;-73.558021;45.52697;;;;
Drake / De Sève;6707;-73.58229;45.456026;;;;
Drolet / Beaubien;6913;-73.605834;45.533348;;;;
Drolet / Villeray;6328;-73.6234;45.5401;;;;
Drolet/St-Zotique;6311;-73.609546;45.534795;;;;
Drummond / de Maisonneuve;6063;-73.57591;45.49947;;;;
Drummond / Rene Levesque;6058;-73.571384;45.497196;;;;
Drummond / Sainte-Catherine;6062;-73.57422709465027;45.49863930330429;;;;
du Parc-La Fontaine / Duluth;6145;-73.57221;45.52469;;;;
du Parc-La Fontaine / Roy;6146;-73.568731;45.523084;;;;
Du Rosaire / Saint-Hubert;6335;-73.621581;45.54467;;;;
Dubois / Eadie;6725;-73.590551;45.457606;;;;
Duluth  / Berri   ;6178;-73.57489765;45.52180403;;;;
Duluth / Saint-Laurent;6213;-73.57921;45.5171;;;;
Duluth/Esplanade;6212;-73.581394;45.515201;;;;
Duluth/St-Denis;6179;-73.575871;45.520655;;;;
Dunlop / Van Horne;6303;-73.619682;45.514905;;;;
Duvernay/charlevoix ;6405;-73.57486278;45.48203995;;;;
Édouard-Montpetit / Stirling;6927;-73.615085;45.50723;;;;
Ellendale/Côte-Des-Neiges;6125;-73.629298;45.499757;;;;
Émile-Duployé / Sherbrooke;6148;-73.56463;45.52729;;;;
