terminalName;id;name;lat;long;coordsLngLat;installed;locked;temporary;public;nbBikes;nbEmptyDocks
5002;443;St-Charles / Châteauguay;45.5332;-73.5156;[-73.5156, 45.5332];1;0;0;1;0;19
5003;444;Place Longueuil;45.5294;-73.5178;[-73.5178, 45.5294];1;0;0;1;0;15
5004;445;St-Charles/Charlotte;45.539824;-73.508752;[-73.508752, 45.539824];1;0;0;1;0;10
5005;446;St-Charles / St-Sylvestre;45.536408;-73.512776;[-73.512776, 45.536408];1;0;0;1;0;19
5006;447;Collège Édouard-Montpetit;45.5368;-73.4954;[-73.4954, 45.5368];1;0;0;1;0;27
5007;448;Métro Longueuil - Université de Sherbrooke;45.523854;-73.519677;[-73.519677, 45.523854];1;0;0;1;0;47
6001;1;Notre Dame / Place Jacques Cartier;45.508498;-73.553786;[-73.553786, 45.508498];1;0;0;1;0;27
6002;2;Dézery/Ste-Catherine;45.539185;-73.541019;[-73.541019, 45.539185];1;0;0;1;0;21
6003;3;Evans/Clark;45.511119;-73.567974;[-73.567974, 45.511119];1;0;0;1;0;23
6004;4;Berri / Saint-Antoine;45.5120536;-73.55393082;[-73.553930819035, 45.512053603271];1;0;0;1;0;0
6005;5;Président-kennedy/Jeanne Mance;45.508349;-73.5689;[-73.5689, 45.508349];1;0;0;1;0;23
6006;6;16e avenue/Rosemont;45.556752;-73.577684;[-73.577684, 45.556752];1;0;0;1;0;26
6007;7;de l'Hôtel-de-Ville / Sainte-Catherine;45.51164009;-73.56218398;[-73.562183976173, 45.511640093571];1;0;0;1;0;27
6008;8;Sanguinet /Ste-Catherine;45.512738;-73.561438;[-73.561438, 45.512738];1;0;0;1;0;23
6009;9;Berri / Sainte-Catherine;45.51462481;-73.55977535;[-73.559775352478, 45.514624813586];1;0;0;1;0;2
6011;11;Saint-André / Saint-Antoine;45.514076;-73.552439;[-73.552439, 45.514076];1;0;0;1;0;15
6012;12;Métro Saint-Laurent (Maisonneuve / St-Laurent);45.51066;-73.56497;[-73.56497, 45.51066];1;0;0;1;0;48
6013;13;Sanguinet / de Maisonneuve;45.51339;-73.56255;[-73.56255, 45.51339];1;0;0;1;0;7
6014;14;St-Denis / de Maisonneuve;45.514649;-73.562152;[-73.562152, 45.514649];1;0;0;1;0;0
6015;15;Berri / de Maisonneuve;45.515299;-73.561273;[-73.561273, 45.515299];1;0;0;1;0;27
6016;16;Jacques Le Ber/Ch Pointe Nord;45.472503;-73.539285;[-73.539285, 45.472503];1;0;0;1;0;2
6017;17;St-Andre/Robin;45.51804;-73.56166;[-73.56166, 45.51804];1;0;0;1;0;14
6018;18;Saint-André / Ontario;45.51889;-73.56353;[-73.56353, 45.51889];1;0;0;1;0;17
6019;19;Berri / Sherbrooke;45.517836;-73.567205;[-73.567205, 45.517836];1;0;0;1;0;27
6020;20;Sanguinet / Ontario;45.514784;-73.565338;[-73.565338, 45.514784];1;0;0;1;0;23
6021;401;De l'Hôtel-de-Ville / Sherbrooke;45.51453084;-73.56847107;[-73.568471074104, 45.514530838669];1;0;0;1;0;15
6022;125;Molson / William - Tremblay;45.541532;-73.565258;[-73.565258, 45.541532];1;0;0;1;0;18
6023;22;de la Commune / Berri;45.51086;-73.54983;[-73.54983, 45.51086];1;0;0;1;0;36
6024;23;Des Érables/ Sherbrooke;45.531367;-73.562624;[-73.562624, 45.531367];1;0;0;1;0;15
6025;24;Notre-Dame / Saint-Gabriel;45.50714392;-73.55511904;[-73.555119037628, 45.507143919284];1;0;0;1;0;0
6026;25;de la Commune / Place Jacques-Cartier;45.50719279;-73.55200768;[-73.552007675171, 45.507192792674];1;0;0;1;0;54
6027;26;Maisonneuve/McGill College;45.50269;-73.573017;[-73.573017, 45.50269];1;0;0;1;0;7
6029;28;Belair/St-Antoine;45.482843;-73.584352;[-73.584352, 45.482843];1;0;0;1;0;23
6031;30;Saint-Antoine / Saint-François-Xavier;45.50449;-73.5592;[-73.5592, 45.50449];1;0;0;1;0;15
6032;31;Métro Place-d'Armes (Viger/St-Urbain);45.50623;-73.55976;[-73.55976, 45.50623];1;0;0;1;0;0
6033;32;18e av/beaubien;45.559761;-73.582429;[-73.582429, 45.559761];1;0;0;1;0;27
6034;33;Saint-Urbain / René-Lévesque;45.5079;-73.563112;[-73.563112, 45.5079];1;0;0;1;0;39
