trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
2_1_43_merged_102030571,09:00:00,09:00:00,MTL5B,1,,,,
2_1_43_merged_102030571,09:06:00,09:06:00,MTL4B,2,,,,
2_1_43_merged_102030571,09:08:00,09:08:00,VMR1B,3,,,,
2_1_43_merged_102030571,09:11:00,09:11:00,SLR3B,4,,,,
2_1_43_merged_102030571,09:14:00,09:14:00,SLR2B,5,,,,
2_1_43_merged_102030571,09:16:00,09:16:00,SLR1B,6,,,,
2_1_43_merged_102030571,09:22:00,09:22:00,DDO1B,7,,,,
2_1_43_merged_102030571,09:24:00,09:24:00,ROX1B,8,,,,
2_1_43_merged_102030571,09:28:00,09:28:00,LVL3A,9,,,,
2_1_43_merged_102030571,09:30:00,09:30:00,LVL2A,10,,,,
2_1_43_merged_102030571,09:33:00,09:33:00,DMO3A,11,,,,
2_1_43_merged_102030571,09:35:00,09:35:00,DMO2A,12,,,,
4_2_3_merged_102030791,06:55:00,06:55:00,SJM1C,1,,,,
4_2_3_merged_102030791,07:09:00,07:09:00,BLA1C,2,,,,
4_2_3_merged_102030791,07:19:00,07:19:00,STR4D,3,,,,
4_2_3_merged_102030791,07:24:00,07:24:00,ROS2C,4,,,,
4_2_3_merged_102030791,07:28:00,07:28:00,LVL4C,5,,,,
4_2_3_merged_102030791,07:33:00,07:33:00,LVL22C,6,,,,
4_2_3_merged_102030791,07:40:00,07:40:00,LVL24C,7,,,,
4_2_3_merged_102030791,07:45:00,07:45:00,MTL7D,8,,,,
4_2_3_merged_102030791,07:47:00,07:47:00,MTL37C,9,,,,
4_2_3_merged_102030791,07:54:00,07:54:00,MTL8D,10,,,,
4_2_3_merged_102030791,08:08:00,08:08:00,MTL1A,11,,,,
4_2_3_merged_102030791,08:13:00,08:13:00,MTL2A,12,,,,
4_2_3_merged_102030791,08:20:00,08:20:00,MTL3A,13,,1,,
4_6_4_merged_102030783,15:30:00,15:30:00,SJM1C,1,,,,
4_6_4_merged_102030783,15:43:00,15:43:00,BLA1C,2,,,,
4_6_4_merged_102030783,15:51:00,15:51:00,STR4D,3,,,,
4_6_4_merged_102030783,15:56:00,15:56:00,ROS2C,4,,,,
4_6_4_merged_102030783,16:00:00,16:00:00,LVL4C,5,,,,
4_6_4_merged_102030783,16:04:00,16:04:00,LVL22C,6,,,,
4_6_4_merged_102030783,16:11:00,16:11:00,LVL24C,7,,1,,
5_2_7_merged_102030434,08:50:00,08:50:00,CAN1A,1,,,,
5_2_7_merged_102030434,08:55:00,08:55:00,DEL1A,2,,,,
5_2_7_merged_102030434,08:58:00,08:58:00,SCS1A,3,,,,
5_2_7_merged_102030434,09:02:00,09:02:00,SCS2A,4,,,,
5_2_7_merged_102030434,09:11:00,09:11:00,LSL1A,5,,,,
5_2_7_merged_102030434,09:18:00,09:18:00,MTL1A,6,,,,
5_2_7_merged_102030434,09:23:00,09:23:00,MTL2A,7,,,,
5_2_7_merged_102030434,09:30:00,09:30:00,MTL3A,8,,1,,
1_10_4_merged_102030462,06:55:00,06:55:00,VAU8D,1,,,,
1_10_4_merged_102030462,07:00:00,07:00:00,VAU1D,2,,,,
1_10_4_merged_102030462,07:02:00,07:02:00,TVA1D,3,,,,
1_10_4_merged_102030462,07:06:00,07:06:00,LIP1D,4,,,,
1_10_4_merged_102030462,07:09:00,07:09:00,SAB1D,5,,,,
1_10_4_merged_102030462,07:12:00,07:12:00,BUR1D,6,,,,
1_10_4_merged_102030462,07:15:00,07:15:00,BEA1D,7,,,,
1_10_4_merged_102030462,07:20:00,07:20:00,BEA2D,8,,,,
1_10_4_merged_102030462,07:23:00,07:23:00,PCL1D,9,,,,
1_10_4_merged_102030462,07:25:00,07:25:00,PCL2D,10,,,,
1_10_4_merged_102030462,07:27:00,07:27:00,PCL3D,11,,,,
1_10_4_merged_102030462,07:30:00,07:30:00,DVL1D,12,,,,
1_10_4_merged_102030462,07:33:00,07:33:00,DVL2D,13,,,,
1_10_4_merged_102030462,07:37:00,07:37:00,LCH1D,14,,,,
1_10_4_merged_102030462,07:45:00,07:45:00,MTL1A,15,,,,
1_10_4_merged_102030462,07:51:00,07:51:00,MTL2A,16,,,,
1_10_4_merged_102030462,07:58:00,07:58:00,MTL3A,17,,1,,
1_9_18_merged_102030447,20:00:00,20:00:00,MTL3C,1,,,,
1_9_18_merged_102030447,20:05:00,20:05:00,MTL2C,2,,,,
1_9_18_merged_102030447,20:11:00,20:11:00,MTL1C,3,,,,
1_9_18_merged_102030447,20:17:00,20:17:00,LCH1B,4,,,,
1_9_18_merged_102030447,20:20:00,20:20:00,DVL2B,5,,,,
1_9_18_merged_102030447,20:23:00,20:23:00,DVL1B,6,,,,
