stop_lat,stop_code,stop_lon,stop_id,stop_name,location_type,zone_id
45.6724175851,11410,-73.8661597194,BLA1A,gare Blainville,0,6
45.6724175851,11410,-73.8661597194,BLA1C,gare Blainville,0,6
45.5459573384,11130,-73.9132333394,DMO2C,gare Deux-Montagnes,0,5
45.5034295452,11080,-73.7839319029,DDO1B,gare Sunnybrooke,0,2
45.5034295452,11080,-73.7839319029,DDO1D,gare Sunnybrooke,0,2
45.6360297746,11400,-73.8335478331,STR4D,gare Sainte-Thérèse,0,5
45.5459573384,11130,-73.9132333394,DMO2A,gare Deux-Montagnes,0,5
45.5138896215,11020,-73.6343512314,MTL4B,gare Canora,0,1
45.4491999377,11190,-73.7431076525,DVL2D,gare Dorval,0,2
45.7295780511,11650,-73.5984941744,MAS1C,gare Mascouche,0,6
45.7295780511,11650,-73.5984941744,MAS1A,gare Mascouche,0,6
45.3606506438,11540,-73.5147939581,CAN1C,gare Candiac,0,5
45.5370481826,11355,-73.6580302395,MTL37C,gare Chabanel,0,1
45.6003300617,11580,-73.615778057,MTL56C,gare Saint-Léonard - Montréal-Nord,0,2
45.5370481826,11355,-73.6580302395,MTL37A,gare Chabanel,0,1
45.6003300617,11580,-73.615778057,MTL56A,gare Saint-Léonard - Montréal-Nord,0,2
45.603757316,11375,-73.7426590323,LVL22A,gare Vimont,0,3
45.603757316,11375,-73.7426590323,LVL22C,gare Vimont,0,3
45.3668353868,11530,-73.5407995189,DEL1A,gare Delson,0,5
45.4999926193,11010,-73.5666664467,MTL5B,gare Centrale,0,1
45.3668353868,11530,-73.5407995189,DEL1C,gare Delson,0,5
45.4491999377,11190,-73.7431076525,DVL2B,gare Dorval,0,2
45.3606506438,11540,-73.5147939581,CAN1A,gare Candiac,0,5
45.4999926193,11010,-73.5666664467,MTL5D,gare Centrale,0,1
45.4076060413,11270,-73.951212608,SAB1B,gare Sainte-Anne-de-Bellevue,0,3
45.4076060413,11270,-73.951212608,SAB1D,gare Sainte-Anne-de-Bellevue,0,3
45.5350170495,11550,-73.6626595277,MTL59C,gare Ahuntsic,0,1
45.4996249919,11440,-73.5058220798,STL1D,gare Saint-Lambert,0,3
45.5350170495,11550,-73.6626595277,MTL59A,gare Ahuntsic,0,1
45.4996249919,11440,-73.5058220798,STL1B,gare Saint-Lambert,0,3
45.5314844388,11350,-73.6237794274,MTL8D,gare Parc,0,1
45.6344962296,11390,-73.7957392105,ROS2C,gare Rosemère,0,5
45.6344962296,11390,-73.7957392105,ROS2A,gare Rosemère,0,5
45.4199073951,11260,-73.915558391,BUR1D,gare Baie-d'Urfé,0,3
45.5376121851,11120,-73.8886389813,DMO3C,gare Grand-Moulin,0,5
45.4199073951,11260,-73.915558391,BUR1B,gare Baie-d'Urfé,0,3
45.5081364819,11450,-73.433823051,STH3D,gare Longueuil–Saint-Hubert,0,3
45.5081364819,11450,-73.433823051,STH3B,gare Longueuil–Saint-Hubert,0,3
45.4737620423,11160,-73.6030995912,MTL2C,gare Vendôme,0,1
45.4495938998,11200,-73.7642548485,DVL1B,gare Pine Beach,0,2
45.3871716083,11290,-73.992272817,TVA1B,gare Pincourt–Terrasse-Vaudreuil,0,4
45.4495938998,11200,-73.7642548485,DVL1D,gare Pine Beach,0,2
45.3871716083,11290,-73.992272817,TVA1D,gare Pincourt–Terrasse-Vaudreuil,0,4
45.5289079904,11050,-73.6911657075,SLR2B,gare Du Ruisseau,0,2
45.6606521522,11600,-73.5391645126,MTL54A,gare Rivière-des-Prairies,0,3
45.6606521522,11600,-73.5391645126,MTL54C,gare Rivière-des-Prairies,0,3
45.5289079904,11050,-73.6911657075,SLR2D,gare Du Ruisseau,0,2
45.5138896215,11020,-73.6343512314,MTL4D,gare Canora,0,1
45.728484784,11640,-73.521186241,LCN1A,gare Terrebonne,0,5
45.5602790272,11365,-73.7101020899,LVL24C,gare De la Concorde,0,3
45.728484784,11640,-73.521186241,LCN1C,gare Terrebonne,0,5
45.5602790272,11365,-73.7101020899,LVL24A,gare De la Concorde,0,3
45.7345775965,11630,-73.4861098746,LEG1C,gare Repentigny,0,5
45.7345775965,11630,-73.4861098746,LEG1A,gare Repentigny,0,5
45.4252077083,11500,-73.6569767067,LSL1C,gare LaSalle,0,1
45.4252077083,11500,-73.6569767067,LSL1A,gare LaSalle,0,1
45.4947620353,11150,-73.5708057507,MTL3A,gare Lucien-L'Allier,0,1
45.4947620353,11150,-73.5708057507,MTL3C,gare Lucien-L'Allier,0,1
45.546043208,11480,-73.2297741039,MMS1D,gare McMasterville,0,6
45.546043208,11480,-73.2297741039,MMS1B,gare McMasterville,0,6
45.4486782578,11180,-73.711323749,LCH1D,gare Lachine,0,1
45.5090871225,11090,-73.8091338678,ROX1D,gare Roxboro–Pierrefonds,0,2
45.5249599471,11040,-73.6728077522,SLR3B,gare Montpellier,0,1
45.5829837576,11570,-73.6302614556,MTL57A,gare Saint-Michel - Montréal-Nord,0,2
45.5249599471,11040,-73.6728077522,SLR3D,gare Montpellier,0,1
45.5829837576,11570,-73.6302614556,MTL57C,gare Saint-Michel - Montréal-Nord,0,2
45.5090871225,11090,-73.8091338678,ROX1B,gare Roxboro–Pierrefonds,0,2
45.5230083857,11060,-73.7097712986,SLR1D,gare Bois-Franc,0,2
45.6178584591,11590,-73.5966570935,MTL55C,gare Anjou,0,3
45.5230083857,11060,-73.7097712986,SLR1B,gare Bois-Franc,0,2
45.6178584591,11590,-73.5966570935,MTL55A,gare Anjou,0,3
45.5314844388,11350,-73.6237794274,MTL8B,gare Parc,0,1
45.3739389657,11520,-73.5702973321,SCS1C,gare Saint-Constant,0,5
45.3739389657,11520,-73.5702973321,SCS1A,gare Saint-Constant,0,5
45.4497451835,11210,-73.7908728809,PCL3B,gare Valois,0,2
45.4497451835,11210,-73.7908728809,PCL3D,gare Valois,0,2
45.5120189184,11460,-73.3744074542,STB2B,gare Saint-Bruno,0,5
45.5120189184,11460,-73.3744074542,STB2D,gare Saint-Bruno,0,5
45.4349736655,11240,-73.847391976,BEA2B,gare Beaconsfield,0,3
45.4349736655,11240,-73.847391976,BEA2D,gare Beaconsfield,0,3
45.5232970795,11470,-73.3059218339,SBA2B,gare Saint-Basile-le-Grand,0,5
45.3820335002,11510,-73.6000979692,SCS2C,gare Sainte-Catherine,0,5
45.3820335002,11510,-73.6000979692,SCS2A,gare Sainte-Catherine,0,5
45.5169003008,11030,-73.6448157467,VMR1B,gare Mont-Royal,0,1
45.5169003008,11030,-73.6448157467,VMR1D,gare Mont-Royal,0,1
45.6254300539,11380,-73.7647463212,LVL4C,gare Sainte-Rose,0,3
45.6254300539,11380,-73.7647463212,LVL4A,gare Sainte-Rose,0,3
45.4536719903,11170,-73.6417387653,MTL1C,gare Montréal-Ouest,0,1
45.4536719903,11170,-73.6417387653,MTL1A,gare Montréal-Ouest,0,1
45.4273946742,11250,-73.8872557173,BEA1D,gare Beaurepaire,0,3
45.4273946742,11250,-73.8872557173,BEA1B,gare Beaurepaire,0,3
45.6748668502,11610,-73.5053396335,MTL53A,gare Pointe-aux-Trembles,0,3
45.6748668502,11610,-73.5053396335,MTL53C,gare Pointe-aux-Trembles,0,3
45.4596284612,11320,-74.140935024,HUD1D,gare Hudson,0,6
45.4596284612,11320,-74.140935024,HUD1B,gare Hudson,0,6
45.577188638,11490,-73.1784993373,MSH1C,gare Mont-Saint-Hilaire,0,6
45.577188638,11490,-73.1784993373,MSH1A,gare Mont-Saint-Hilaire,0,6
45.4424148316,11230,-73.81987783,PCL1D,gare Cedar Park,0,2
45.4424148316,11230,-73.81987783,PCL1B,gare Cedar Park,0,2
45.5193470266,11100,-73.8520708935,LVL3C,gare Île-Bigras,0,3
45.5193470266,11100,-73.8520708935,LVL3A,gare Île-Bigras,0,3
45.5493989907,11560,-73.6543379892,MTL58A,gare Sauvé,0,1
45.5493989907,11560,-73.6543379892,MTL58C,gare Sauvé,0,1
