stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
1,10280,Station Henri-Bourassa,45.556109,-73.667452,1
10,10262,Station Sherbrooke,45.518345,-73.568251,2
100006,61396,Sainte-Anne / Sainte-Marie,45.402742,-73.947489,2
100007,61503,Robert / Cluny,45.580406,-73.607774,1
100009,61506,du Bois-de-Boulogne / stationnement,45.541494,-73.689973,2
100010,61507,du Bois-de-Boulogne / stationnement,45.541489,-73.690283,2
100011,61508,Henri-Bourassa / du Bois-de-Boulogne,45.537780,-73.678503,2
100012,61509,Centre communautaire d'Anjou / Centre communautair,45.606310,-73.563542,2
100013,61510,Yves-Prévost / Joseph-Renaud,45.604320,-73.546177,2
100014,61511,Sainte-Catherine / d'Orléans,45.546645,-73.536455,2
100015,61512,Sainte-Catherine / d'Orléans,45.546860,-73.536518,2
100016,61513,Moreau / Adam,45.538432,-73.544233,2
100037,61525,Gare Rivière-des-Prairies,45.661754,-73.537953,1
100042,61529,Henri-Bourassa / 6e avenue,45.617184,-73.593218,1
100043,61530,Henri-Bourassa / 6e Avenue,45.617101,-73.593864,1
100050,61537,Arthur-Fecteau / Roméo-Vachon,45.453611,-73.744596,2
100051,61538,Roméo-Vachon / No 700,45.454459,-73.751327,2
100052,61539,Roméo-Vachon / No 700,45.454115,-73.751274,2
100053,61540,Arthur-Fecteau / Roméo-Vachon,45.453558,-73.744647,2
100054,61541,Mc Millan / No 555,45.453122,-73.740979,2
100055,61542,Henri-Bourassa / Pie IX,45.595517,-73.642552,1
100056,61543,Pie-IX / d'Amos,45.594527,-73.640957,1
100057,61544,Carrefour Henri-Bourassa / Pie-IX,45.596640,-73.643194,1
100058,61545,Carrefour Henri-Bourassa / Pie-IX,45.596806,-73.642472,1
100059,61546,Lacordaire / Gare Saint-Léonard-Montréal-Nord,45.600693,-73.613607,1
100060,61547,Lacordaire / Gare Saint-Léonard-Montréal-Nord,45.600768,-73.613282,1
100062,61549,Station Rosemont (Saint-Denis / Rosemont),45.530882,-73.597834,1
100063,61550,des Futailles / Notre-Dame,45.581131,-73.512412,2
100064,61551,Lafleur / Centrale,45.423313,-73.650700,1
100065,61552,Henri-Bourassa / No 5700,45.517525,-73.716231,2
100066,61553,Villeray / 20e Avenue,45.567264,-73.598291,1
100067,61554,Marc-Cantin / Fernand-Seguin,45.480261,-73.543385,2
100068,61555,Marc-Cantin / Studios Mel's,45.478246,-73.544413,2
100069,61556,Papineau / de Louvain,45.561754,-73.638017,1
100071,61558,Décarie / CUSM,45.471538,-73.602838,1
100072,61559,CUSM,45.472923,-73.601988,1
100073,61561,Station Lionel-Groulx  (Saint-Jacques / Atwater),45.483380,-73.579491,1
100074,61562,Gaétan-Laberge / Gilberte Dubé,45.470180,-73.562393,2
100075,61563,Gaétan-Laberge / Rhéaume,45.467841,-73.562979,2
100076,61564,Station de l'Église / Ross,45.462801,-73.566293,2
100077,61565,Galt / Wellington,45.461857,-73.567243,2
100078,61566,Gaétan-Laberge / de l'Église,45.463063,-73.562438,2
100079,61567,Gaétan-Laberge / Hickson,45.464642,-73.562759,2
100080,61568,Gaétan-Laberge / No 3750,45.465927,-73.562301,2
100081,61569,Gaétan-Laberge / Rhéaume,45.467726,-73.562581,2
100082,61570,Gaétan-Laberge / Gilberte Dubé,45.470242,-73.561907,2
100083,61571,Gaétan-Laberge / No 3750,45.465951,-73.562608,2
100084,61572,Gaétan-Laberge / Hickson,45.464827,-73.563037,2
100085,61573,Saint-Louis / Gohier,45.507229,-73.673297,2
100086,61577,Jean-Talon / De Chateaubriand,45.539628,-73.613506,1
100087,61575,De Chateaubriand / Beaubien,45.535460,-73.603955,2
100088,61574,Saint-Denis / Beaubien,45.534008,-73.604813,2
100089,61578,Fairview / Brunswick,45.462616,-73.837343,2
100092,61579,Rosemont / Chambord,45.537255,-73.592721,1
100094,61581,Sherbrooke / gare Pointe-aux-Trembles,45.675629,-73.502987,1
100095,61582,Sherbrooke / gare Pointe-aux-Trembles,45.675020,-73.502986,1
100096,61583,Pie-IX / Ontario,45.550271,-73.541508,1
100103,61588,Viau / Hochelaga,45.561198,-73.541833,2
100104,61589,Viau / de Rouen,45.560341,-73.539222,2
100105,61590,Viau / Ontario,45.559187,-73.535701,2
100106,61591,Viau / La Fontaine,45.558514,-73.533647,2
100107,61592,Viau / Adam,45.557880,-73.531716,2
100108,61593,Viau / Sainte-Catherine,45.557326,-73.530025,2
100323,50101,Louis-Hippolyte-La Fontaine / Curatteau,45.594058,-73.542634,1
100360,50102,Saint-Jacques / No 6640,45.460511,-73.625831,1
100370,50103,Saint-Jacques / No 6710,45.458946,-73.626973,1
100664,50104,Jean-Talon / Wilderton,45.513581,-73.632259,1
100782,50105,Station Viau,45.560876,-73.547179,1
101260,50106,Saint-Joseph / No 3500,45.552134,-73.566095,1
101291,50107,Viau / de Marseille,45.563712,-73.549051,1
101313,50108,Viau / centre sportif Pierre-Charbonneau,45.563623,-73.549505,1
101341,50109,Louis-Hippolyte-La Fontaine / Fonteneau,45.595253,-73.543647,1
101354,50110,Sherbrooke / Gare Montréal-Ouest,45.454203,-73.641481,1
101391,50111,du Parc / Milton,45.509507,-73.573516,1
101401,50112,du Parc / Prince-Arthur,45.510422,-73.575515,1
101450,50113,Rachel / André-Laurendeau,45.542598,-73.561619,1
101589,50114,Édouard-Montpetit / No 2141,45.508717,-73.614035,1
101641,50115,du Parc / Léo-Pariseau,45.511119,-73.576976,1
101700,50116,Bates / No 240,45.515185,-73.629424,1
101733,50117,Station  Jean-Drapeau,45.511667,-73.532256,1
101882,50118,Industriel / Jean-Sicard,45.651829,-73.517467,2
101904,50119,Sherbrooke / Yves-Thériault,45.678884,-73.501596,1
101914,50120,Sherbrooke / Arthur-Généreux,45.681082,-73.500887,1
101922,50121,Sherbrooke / Arthur-Généreux,45.681187,-73.501012,1
102079,50122,Henri-Bourassa / No 9875,45.645183,-73.551213,1
102212,50123,Sherbrooke / du Parc-La Fontaine,45.521550,-73.565691,1
102292,50124,Gouin / du Ruisseau,45.510483,-73.753399,2
102322,50125,Gouin / Wilfrid-Lazure,45.518952,-73.742992,2
102332,50126,Gouin / Antoine-Berthelet,45.520348,-73.741198,2
102352,50127,Gouin / Albert-Prévost,45.522795,-73.738182,1
102362,50128,Gouin / Toupin,45.524118,-73.736279,1
102364,50129,Gouin / Toupin,45.523831,-73.736460,1
102368,50130,Toupin / Gouin,45.523686,-73.736102,1
102371,50131,de Beauséjour / Gouin,45.524909,-73.734324,1
102372,50132,Gouin / de Beauséjour,45.525126,-73.734468,1
102374,50133,Gouin / de Beauséjour,45.524869,-73.734645,1
102382,50134,Gouin / Olivier,45.525747,-73.732370,1
102384,50135,Gouin / Olivier,45.525705,-73.731987,1
102392,50136,Gouin / Henri-D'Arles,45.526685,-73.730418,1
102394,50137,Gouin / Henri-D'Arles,45.526374,-73.730507,1
102402,50138,Gouin / du Golf,45.527854,-73.728571,1
102404,50139,Gouin / du Golf,45.527490,-73.729165,1
102412,50140,Gouin / de Somerset,45.528800,-73.725537,1
102414,50141,Gouin / de Somerset,45.528576,-73.725786,1
102422,50142,Gouin / Cousineau,45.529320,-73.724040,1
102431,50143,Laurentien / Gouin,45.529650,-73.722972,1
102432,50144,Gouin / Laurentien,45.529877,-73.723209,1
102434,50145,Gouin / Laurentien,45.529282,-73.723776,1
102454,50146,Gouin / Lachapelle,45.530971,-73.721893,1
102458,50147,Lachapelle / Chevalier,45.530837,-73.721322,1
102468,50148,Ranger / Gouin,45.531522,-73.720881,1
102491,50149,Grenet / De Serres,45.531255,-73.718523,1
102492,50150,De Serres / Grenet,45.531603,-73.718828,1
102496,50151,Grenet / Gouin,45.532006,-73.719702,1
102501,50152,Laurentien / Émile-Nelligan (sud),45.527722,-73.719440,1
102513,50153,Lachapelle / Émile-Nelligan,45.529125,-73.718639,1
102521,50154,Grenet / De Mésy,45.530659,-73.717589,1
102523,50155,Grenet / De Mésy,45.530721,-73.717968,1
102524,50156,De Mésy / Grenet,45.530522,-73.717984,1
102532,50157,Gouin / de la Miséricorde,45.533450,-73.717587,1
102534,50158,Gouin / de la Miséricorde,45.533105,-73.717834,1
102541,50159,Laurentien / Périnault,45.526644,-73.716537,1
102555,50160,Gouin / Notre-Dame-des-Anges,45.534210,-73.715879,1
102561,50161,Grenet / Legault,45.529502,-73.715782,1
102563,50162,Grenet / Legault,45.529610,-73.716209,1
102573,50163,Lachapelle / Périnault,45.527471,-73.716057,1
102581,50164,Saint-Évariste / Gouin,45.535469,-73.714627,1
102584,50165,Gouin / Saint-Évariste,45.535391,-73.714834,1
102587,50166,Gouin / Saint-Évariste,45.535515,-73.715061,1
102592,50167,De Salaberry / Lachapelle,45.526622,-73.714290,1
102604,50169,Gouin / de la Capricieuse,45.536339,-73.713634,1
102607,50170,Gouin / Saint-Germain,45.536255,-73.713986,1
102611,50171,Grenet / De Salaberry,45.527567,-73.712734,1
102612,50172,De Salaberry / Grenet,45.527829,-73.712795,1
102613,50173,Grenet / De Salaberry,45.527306,-73.712583,1
102614,50174,De Salaberry / Grenet,45.527465,-73.712955,1
102622,50175,Gouin / Dépatie,45.537531,-73.712055,1
102624,50176,Gouin / de La Minerve,45.537311,-73.712145,1
102630,50177,Grenet / No 11940,45.526654,-73.711563,1
102652,50178,De Salaberry / De Meulles,45.529281,-73.711002,1
102654,50179,De Salaberry / De Meulles,45.528998,-73.711061,1
102672,50180,Gouin / Filion,45.538528,-73.710535,1
102674,50181,Gouin / Filion,45.538404,-73.710462,1
102684,50182,de Louisbourg / Ranger,45.524939,-73.710630,1
102691,50183,Grenet / de Louisbourg,45.525586,-73.709629,1
102693,50184,Grenet / de Louisbourg,45.525677,-73.710026,1
102694,50185,de Louisbourg / Grenet,45.525500,-73.709935,1
102697,50186,de Louisbourg / Grenet,45.525412,-73.710255,1
102702,50187,Gouin / Bohlé,45.540315,-73.708542,1
102704,50188,Gouin / Bohlé,45.540096,-73.708604,1
102712,50189,De Salaberry / Saint-Évariste,45.531526,-73.708222,1
102714,50190,De Salaberry / Saint-Évariste,45.531256,-73.708266,1
102731,50191,Grenet / Ranger,45.524545,-73.707980,1
102733,50192,Grenet / Ranger,45.524672,-73.708450,1
102735,50193,Dudemaine / Grenet,45.524478,-73.707622,1
102736,50194,Dudemaine / Grenet,45.524712,-73.707787,1
102751,50195,O'Brien / De Salaberry,45.532359,-73.706772,1
102752,50196,De Salaberry / O'Brien,45.532575,-73.706884,1
102753,50197,O'Brien / De Salaberry,45.532449,-73.707192,1
102754,50198,De Salaberry / O'Brien,45.532237,-73.707020,1
102762,50199,Gouin / De Poutrincourt,45.541737,-73.706417,1
102764,50200,Gouin / De Poutrincourt,45.541500,-73.706623,1
102772,50201,Dudemaine / Michel-Sarrazin,45.525043,-73.705877,1
