idFeuillet,lng,lat,SRIDU,mtmx,mtmy,popLogi,facteurLogement,popPonderee
10007,-73.5881752736,45.5485063978,4620204.00,297915,5045403,1,27.03,27.0
10008,-73.6265367028,45.4878570788,4620113.00,294909,5038667,4,30.99,124.0
10028,-73.568021746,45.5309823484,4620149.00,299487,5043454,1,27.55,27.6
10035,-73.5820894084,45.5643120287,4620200.00,298392,5047159,1,27.03,27.0
10060,-73.5650396603,45.5318389319,4620150.00,299720,5043549,2,29.77,59.5
10074,-73.5619936583,45.4862366286,4620073.00,299954,5038481,2,17.64,35.3
10076,-73.6424216815,45.5471288873,4620266.00,293679,5045256,2,19.01,38.0
10110,-73.5818900948,45.532925898,4620175.00,298404,5043671,2,29.77,59.5
10118,-73.5757214905,45.5539413392,4620185.00,298888,5046006,1,27.03,27.0
10132,-73.6442184384,45.463432262,4620100.00,293522,5035955,2,29.34,58.7
10143,-73.6231305973,45.4805450528,4620110.00,295174,5037854,2,30.37,60.7
10145,-73.6775800537,45.536317593,4620268.01,290931,5044060,1,25.84,25.8
10169,-73.6572727294,45.5500878632,4620270.00,292520,5045587,1,35.65,35.7
10185,-73.6580030903,45.4678772774,4620382.01,292445,5036451,2,24.15,48.3
10189,-73.5733611428,45.5314379619,4620147.00,299070,5043505,2,29.77,59.5
10219,-73.5855530911,45.5253015778,4620160.00,298117,5042824,1,27.55,27.6
10222,-73.5916177142,45.5469019807,4620205.00,297646,5045225,2,18.21,36.4
10226,-73.6321763877,45.4705556362,4620100.00,294465,5036745,3,20.34,61.0
10263,-73.5576330002,45.5881455236,4620195.03,300303,5049806,1,28.63,28.6
10271,-73.6605800034,45.461124815,4620381.00,292242,5035701,4,27.4,109.6
10287,-73.5964199702,45.5542856779,4620203.00,297272,5046046,1,34.29,34.3
10288,-73.6490939783,45.4695989654,4620101.01,293142,5036641,3,24.71,74.1
10292,-73.6552925661,45.4588015145,4620098.00,292655,5035442,1,35.86,35.9
10301,-73.5626695025,45.5304095134,4620048.00,299905,5043390,1,26.2,26.2
10317,-73.6109359301,45.5173971478,4620362.00,296133,5041948,1,27.14,27.1
10319,-73.6273982221,45.5748615139,4620261.00,294857,5048336,2,28.56,57.1
10346,-73.6758786537,45.5491339015,4620281.00,291067,5045484,2,28.72,57.4
10349,-73.5782788978,45.5324515153,4620157.00,298686,5043618,2,17.86,35.7
10356,-73.5296109232,45.6000249634,4620007.00,302490,5051125,4,24.18,96.7
10368,-73.6286260386,45.4952604686,4620116.00,294747,5039490,1,25.95,26.0
10369,-73.6356678037,45.4918599084,4620112.02,294196,5039113,2,30.37,60.7
10370,-73.6075242645,45.5406432499,4620213.00,296403,5044531,2,19.57,39.1
10376,-73.5859125857,45.5175806796,4620138.00,298088,5041966,1,27.55,27.6
10383,-73.5717926501,45.5363700715,4620155.00,299193,5044053,2,29.77,59.5
10389,-73.6016806184,45.4812680407,4620353.00,296851,5037932,2,20.94,41.9
10394,-73.6050226108,45.5518935299,4620249.00,296600,5045781,2,19.04,38.1
10395,-73.594934533,45.546863279,4620206.00,297387,5045221,1,27.03,27.0
10426,-73.5334952611,45.5789948786,4620012.02,302186,5048788,1,34.08,34.1
10436,-73.6047708687,45.5266893178,4620167.00,296616,5042980,2,29.77,59.5
10443,-73.5756327025,45.5641365193,4620199.00,298896,5047139,1,24.69,24.7
10446,-73.5913417827,45.495116398,4620128.00,297661,5039470,2,30.37,60.7
10465,-73.5911723328,45.4852542314,4620351.00,297673,5038374,1,24.59,24.6
10469,-73.7029963995,45.54349195,4620284.00,288948,5044862,3,30.37,91.1
10472,-73.5708803811,45.5644095169,4620198.00,299267,5047169,2,18.21,36.4
10492,-73.6275668573,45.5248214646,4620221.00,294835,5042775,3,28.08,84.2
10496,-73.6343910555,45.4606907072,4620097.02,294290,5035649,2,29.34,58.7
10514,-73.5729284926,45.523582643,4620144.00,299103,5042632,1,27.55,27.6
10534,-73.5309621454,45.6096077619,4620194.00,302385,5052190,6,28.69,172.1
10557,-73.5983426481,45.5183895099,4620363.00,297117,5042057,1,28.09,28.1
10567,-73.5932887152,45.5583645288,4620251.02,297517,5046499,2,28.56,57.1
10572,-73.7274092035,45.5225157178,4620287.02,287035,5042536,1,25.84,25.8
10587,-73.6237621445,45.5294418254,4620220.00,295133,5043288,1,32.22,32.2
10597,-73.5723260308,45.5529177275,4620185.00,299153,5045892,1,27.03,27.0
10601,-73.5899008992,45.5464354299,4620205.00,297780,5045173,2,18.21,36.4
10608,-73.5975814482,45.551936122,4620203.00,297181,5045785,4,21.3,85.2
10610,-73.5162689965,45.6076941692,4620002.00,303531,5051977,1,28.63,28.6
10612,-73.6318382901,45.5558699953,4620264.02,294507,5046226,3,30.37,91.1
10639,-73.5556221491,45.5374768917,4620033.00,300456,5044175,2,26.33,52.7
10642,-73.5833790548,45.5268149155,4620160.00,298287,5042992,1,27.55,27.6
10661,-73.6182465481,45.4938679274,4620115.02,295558,5039334,1,27.57,27.6
10668,-73.509227602,45.5891854944,4620008.00,304080,5049920,1,25.82,25.8
10671,-73.5389429207,45.5815936625,4620012.01,301761,5049077,1,25.82,25.8
10685,-73.61045814,45.4956214222,4620115.02,296167,5039528,2,30.37,60.7
10702,-73.6711123756,45.5357875614,4620268.01,291436,5044000,3,30.68,92.0
10710,-73.6991664951,45.5395844005,4620284.00,289246,5044427,4,26.39,105.6
10723,-73.6619370946,45.5598895464,4620278.00,292158,5046677,1,25.84,25.8
10735,-73.6200750962,45.5535433947,4620240.00,295425,5045966,4,24.2,96.8
10774,-73.6296400069,45.4631797829,4620097.02,294662,5035925,1,25.34,25.3
10812,-73.5993553806,45.5410735703,4620209.00,297041,5044578,1,28.18,28.2
10819,-73.6619940123,45.5663232759,4620277.00,292155,5047392,1,29.31,29.3
10840,-73.6644195257,45.5502127757,4620279.00,291962,5045602,4,15.83,63.3
10855,-73.5478477471,45.5802135388,4620191.00,301066,5048924,3,18.47,55.4
10860,-73.6336389442,45.4941389069,4620117.00,294355,5039366,1,25.95,26.0
10869,-73.6019654819,45.5257110315,4620170.00,296835,5042871,1,43.13,43.1
10881,-73.5814681602,45.515586289,4620138.00,298435,5041744,1,35.12,35.1
10888,-73.633405574,45.5470047969,4620238.00,294383,5045241,1,28.18,28.2
10895,-73.5484610662,45.533466877,4620037.00,301015,5043729,1,26.84,26.8
10903,-73.6029515057,45.5188533662,4620363.00,296757,5042109,5,16.39,82.0
10923,-73.5494795934,45.5415109884,4620028.00,300936,5044623,2,30.45,60.9
10926,-73.5696610123,45.4898855825,4620077.00,299355,5038887,2,28.63,57.3
10942,-73.5808290798,45.5519582022,4620184.00,298489,5045786,2,28.09,56.2
10994,-73.5811697048,45.5305598369,4620158.00,298460,5043408,2,29.77,59.5
10995,-73.6342297565,45.5273963688,4620222.00,294315,5043062,1,35.8,35.8
11003,-73.547373767,45.5498983552,4620029.00,301101,5045555,1,26.84,26.8
11010,-73.5679983685,45.49031851,4620077.00,299485,5038935,1,35.59,35.6
11013,-73.5857690996,45.4736683897,4620083.00,298094,5037086,2,17.64,35.3
11016,-73.5755806988,45.5349008923,4620156.00,298897,5043890,2,17.86,35.7
11021,-73.6401367461,45.5191917338,4620400.00,293852,5042151,4,17.08,68.3
11044,-73.6525328546,45.5212274901,4620404.00,292884,5042379,2,17.02,34.0
11058,-73.5737778282,45.5563631667,4620185.00,299040,5046275,1,24.69,24.7
11080,-73.6073257205,45.5507036066,4620242.00,296420,5045649,2,22.37,44.7
11108,-73.554522461,45.5655072935,4620190.02,300544,5047290,2,16.85,33.7
