idFeuillet;lng;lat;SRIDU;mtmx;mtmy;popLogi;facteurLogement;popPonderee;1kmCountBIXIstops;500mCountBIXIstops;1kmCountBIXIcapacity;500mCountBIXIcapacity;1kmCountAMTstops;500mCountAMTstops;1kmCountAMTcountStopTimes;500mCountAMTcountStopTimes;1kmCountSTMstops;500mCountSTMstops;1kmCountSTMcountStopTimes;500mCountSTMcountStopTimes;1kmCountSTMcountStopTimesSemaine;500mCountSTMcountStopTimesSemaine;1kmCountSTMcountStopTimesSamedi;500mCountSTMcountStopTimesSamedi;1kmCountSTMcountStopTimesDimanche;500mCountSTMcountStopTimesDimanche
132364;-73.5337819;45.58689531;4620011.00;302164;5049666;3;25.48;76.4;0;0;0;0;0;0;0;0;78;8;52812;1770;12987;446;10330;347;9627;315
158934;-73.60640057;45.53552423;4620214.00;296490;5043962;4;24.2;96.8;33;11;529;205;0;0;0;0;126;35;76614;20467;19237;5319;15967;4333;13744;3605
199176;-73.56374216;45.52795236;4620048.00;299821;5043117;2;26.33;52.7;36;10;641;175;0;0;0;0;129;31;68309;19240;17260;5383;13430;3740;12134;3199
123818;-73.56556759;45.53442117;4620150.00;299679;5043836;2;29.77;59.5;30;12;521;211;0;0;0;0;139;40;81544;23973;20561;6109;16097;4785;14536;4219
150185;-73.55143511;45.5515073;4620030.00;300784;5045734;2;30.45;60.9;13;5;257;90;0;0;0;0;106;31;67599;21429;15764;5013;13554;4283;11905;3784
158450;-73.5439105;45.55950098;4620014.01;301372;5046622;1;26.2;26.2;9;1;211;40;0;0;0;0;78;27;40065;12669;9609;3075;7963;2497;7174;2349
157775;-73.59261954;45.46283786;4620087.00;297557;5035883;2;17.18;34.4;5;1;83;15;0;0;0;0;84;22;38323;9069;8327;2069;7655;1735;7447;1755
151837;-73.54751097;45.53032684;4620038.00;301089;5043380;2;26.33;52.7;12;6;180;87;0;0;0;0;76;26;45145;17187;9747;3731;9153;3493;8653;3297
147167;-73.564654;45.5304714;4620149.00;299750;5043397;2;29.77;59.5;36;11;638;206;0;0;0;0;143;36;82499;20584;20768;5690;16368;3999;14656;3445
123519;-73.68990089;45.5372966;4620283.02;289969;5044171;1;29.31;29.3;0;0;0;0;1;0;106;0;60;16;35994;10132;9283;2438;7204;2126;6305;1846
32160;-73.52427474;45.59154984;4620007.00;302906;5050183;1;25.82;25.8;0;0;0;0;0;0;0;0;48;18;44735;17135;10554;4021;8813;3312;8380;3268
30299;-73.58793849;45.5362778;4620175.00;297932;5044044;4;15.39;61.6;30;8;565;183;0;0;0;0;105;17;53875;8538;14217;2202;10279;1633;9541;1501
190842;-73.52283004;45.56876642;4620009.00;303018;5047651;3;25.48;76.4;0;0;0;0;0;0;0;0;31;18;13199;7779;3090;1858;2641;1553;2476;1447
62432;-73.55879672;45.54888523;4620187.02;300209;5045443;1;24.69;24.7;15;4;260;64;0;0;0;0;116;34;74756;23750;17883;5551;14813;4806;13150;4169
25611;-73.66122094;45.46168182;4620381.00;292192;5035763;1;30.67;30.7;0;0;0;0;0;0;0;0;71;26;37208;10130;9748;2714;7219;1986;6633;1750
138480;-73.66681311;45.5540786;4620279.00;291776;5046032;1;29.31;29.3;4;2;49;34;0;0;0;0;102;35;78560;30316;22356;8464;15014;5938;13036;5094
91263;-73.62256219;45.52515089;4620221.00;295226;5042811;3;30.83;92.5;10;3;163;44;1;0;26;0;90;25;61991;17930;15328;4038;12107;3598;11386;3400
161842;-73.62178918;45.47539037;4620104.00;295278;5037281;1;25.34;25.3;9;3;106;41;0;0;0;0;115;31;75628;21630;19345;5448;15279;4340;12801;3614
103334;-73.52773039;45.60773695;4620003.00;302637;5051982;1;34.08;34.1;0;0;0;0;0;0;0;0;71;20;62741;15873;14630;3768;12660;3228;11445;2851
138078;-73.55643814;45.53399412;4620033.00;300392;5043788;1;26.2;26.2;24;7;399;96;0;0;0;0;120;36;75723;25607;18153;6022;15158;5136;13832;4735
