SRIDU;F;M;total
4620002.00;;3;3
4620003.00;2;7;9
4620004.00;4;6;10
4620005.00;2;3;5
4620006.00;2;2;4
4620007.00;3;5;8
4620008.00;;2;2
4620009.00;2;2;4
4620010.00;;3;3
4620011.00;2;2;4
4620012.01;;1;1
4620012.02;;1;1
4620013.00;4;7;11
4620014.01;1;13;14
4620014.02;1;4;5
4620015.00;10;5;15
4620016.00;1;2;3
4620017.00;1;2;3
4620018.00;9;8;17
4620019.00;10;7;17
4620021.00;1;8;9
4620022.00;;5;5
4620023.00;3;1;4
4620024.00;7;11;18
4620025.00;7;6;13
4620026.00;3;5;8
4620027.00;;2;2
4620028.00;6;8;14
4620029.00;2;8;10
4620030.00;3;16;19
4620031.00;2;4;6
4620032.00;2;7;9
4620033.00;3;4;7
4620034.00;11;11;22
4620035.00;4;7;11
4620036.00;4;9;13
4620037.00;1;5;6
4620038.00;4;4;8
4620039.00;1;5;6
4620040.00;;1;1
4620041.00;4;7;11
4620042.00;3;3;6
4620043.00;3;11;14
4620044.00;7;13;20
4620045.00;2;7;9
4620046.00;3;13;16
4620047.00;;4;4
4620048.00;1;7;8
4620049.00;8;22;30
4620050.00;8;5;13
4620051.00;14;24;38
4620052.00;7;18;25
4620053.00;5;14;19
4620054.00;3;6;9
4620055.01;24;27;51
4620056.00;17;29;46
4620057.00;2;2;4
4620058.00;9;9;18
4620059.00;16;30;46
4620061.00;13;16;29
4620062.00;40;100;140
4620063.00;5;17;22
4620064.00;12;17;29
4620065.01;4;7;11
4620065.02;5;13;18
4620066.01;1;5;6
4620066.02;3;3;6
4620067.00;1;;1
4620068.00;1;;1
4620069.00;2;6;8
4620070.00;15;23;38
4620071.00;1;;1
4620072.00;5;9;14
4620073.00;;2;2
4620074.00;5;7;12
4620075.00;2;1;3
4620076.00;2;2;4
4620077.00;3;3;6
4620078.00;5;4;9
4620079.00;4;13;17
4620081.00;;4;4
4620083.00;1;;1
4620084.00;2;3;5
4620086.00;1;7;8
4620087.00;2;3;5
4620088.00;4;6;10
4620089.00;4;5;9
4620090.00;6;7;13
4620091.00;;2;2
4620092.00;3;17;20
4620093.00;1;3;4
4620094.01;2;3;5
4620094.02;;1;1
4620095.00;2;;2
4620096.00;5;10;15
4620097.01;5;2;7
4620097.02;3;1;4
4620098.00;2;4;6
4620099.00;11;7;18
4620100.01;3;2;5
4620100.02;3;4;7
4620102.00;3;4;7
4620103.00;4;6;10
4620104.00;8;6;14
4620105.00;5;6;11
4620106.00;3;3;6
4620107.00;1;1;2
4620108.00;2;1;3
4620109.00;1;1;2
4620110.00;4;2;6
4620111.00;2;7;9
4620113.00;1;3;4
4620114.00;1;2;3
4620115.01;2;2;4
4620115.02;2;3;5
4620116.00;7;12;19
4620117.00;;1;1
4620118.00;;5;5
4620119.00;1;4;5
4620120.01;1;2;3
4620120.02;;1;1
4620121.00;2;3;5
4620122.00;3;3;6
4620123.00;7;6;13
4620124.00;1;5;6
4620125.00;1;2;3
4620126.00;10;26;36
4620127.01;4;15;19
4620127.02;;2;2
4620128.00;4;16;20
4620129.01;1;11;12
4620129.02;16;18;34
4620130.00;6;9;15
4620131.00;3;1;4
4620132.00;9;10;19
4620133.00;8;13;21
4620134.00;3;7;10
4620135.00;8;8;16
4620136.00;8;14;22
4620137.00;8;7;15
4620138.00;11;17;28
4620139.00;13;11;24
4620140.00;4;16;20
4620141.00;9;5;14
4620142.00;5;4;9
4620143.00;6;10;16
4620144.00;3;15;18
4620145.00;14;5;19
4620146.00;20;20;40
4620147.00;26;26;52
4620148.00;8;14;22
4620149.00;13;16;29
4620150.00;4;4;8
4620151.00;11;13;24
4620152.00;14;23;37
4620153.00;3;2;5
4620154.00;3;7;10
4620155.00;12;13;25
4620156.00;7;13;20
4620157.00;16;23;39
4620158.00;7;20;27
4620159.00;5;14;19
4620160.00;9;16;25
4620161.00;7;7;14
4620162.00;2;1;3
4620163.00;8;16;24
4620164.00;2;8;10
4620165.00;14;14;28
4620166.00;4;4;8
4620167.00;6;15;21
4620168.00;10;14;24
4620169.00;17;18;35
4620170.00;10;12;22
4620171.00;23;39;62
4620172.00;10;12;22
4620173.00;1;7;8
4620174.00;8;10;18
4620175.00;14;16;30
4620176.00;6;7;13
4620177.00;7;8;15
4620178.00;13;17;30
4620179.00;9;11;20
