SRIDU;F;M;total;mtmx;mtmy;lng;lat;superficie
4620002.00;0;58.14;58.14;303464.8;5051936.4;-73.51711807;45.6073284;0.39
4620003.00;43.53;207.22;250.75;303007.7;5052080.7;-73.52297876;45.60862587;0.74
4620004.00;97.28;170.68;267.96;302909.1;5051308.6;-73.52423963;45.60167809;0.45
4620005.00;59.44;55.72;115.16;303808.7;5050932.5;-73.51270642;45.59829626;0.56
4620006.00;26;28.94;54.94;303911.9;5050339.7;-73.51138259;45.59296222;0.65
4620007.00;65.41;110.11;175.52;302538.2;5050542;-73.52899099;45.59477955;1.1
4620008.00;0;53.04;53.04;303895.8;5049804.7;-73.51158821;45.58814733;0.62
4620009.00;40.94;48.98;89.92;303093.3;5048152;-73.5218673;45.57327473;4.26
4620010.00;0;79.68;79.68;302405.5;5048669.8;-73.53068265;45.57793239;0.93
4620011.00;51.41;59.18;110.59;302143.1;5049625;-73.53404948;45.58652644;1.25
4620012.01;0;48.72;48.72;301664.1;5048925.1;-73.54018354;45.58022635;0.24
4620012.02;0;30.49;30.49;301715.7;5048667.3;-73.53952093;45.57790644;0.4
4620013.00;93.84;186.36;280.2;301338.2;5047874.2;-73.54435216;45.57076827;1.08
4620014.01;28.74;322.78;351.52;301473.2;5046598.6;-73.54261457;45.55929081;0.91
4620014.02;14.79;90.46;105.25;300971.1;5046886.7;-73.54904766;45.56188034;0.88
4620015.00;252.34;185.14;437.48;302157.4;5046617.7;-73.53384984;45.55946559;0.38
4620016.00;19.93;49.82;69.75;302731.6;5046393.5;-73.52649425;45.5574501;0.52
4620017.00;39.74;48.8;88.54;302406.4;5045979.7;-73.53065794;45.55372554;0.22
4620018.00;227.78;211.9;439.68;302330.5;5045715.6;-73.53162799;45.551349;0.37
4620019.00;252.44;145.68;398.12;302162.2;5045528.9;-73.53378202;45.5496685;0.34
4620021.00;37.07;208.25;245.32;302058.1;5044976.8;-73.53511313;45.5447;0.44
4620022.00;0;126.3;126.3;301893.3;5044561.8;-73.53722035;45.54096503;0.17
4620023.00;57.56;23.96;81.52;301506.9;5044114.2;-73.54216597;45.53693597;0.36
4620024.00;172.66;346.02;518.68;301250.9;5044389.6;-73.54544606;45.5394126;0.27
4620025.00;150.2;145.49;295.69;301570.8;5045260.8;-73.54135458;45.54725322;0.22
4620026.00;100.05;104.89;204.94;301316.5;5045389.4;-73.54461209;45.54840915;0.17
4620027.00;0;34.35;34.35;301121.7;5045027.6;-73.54710486;45.54515265;0.09
4620028.00;179.73;194.76;374.49;300936.8;5044534.5;-73.54946861;45.54071447;0.15
4620029.00;67.41;256.79;324.2;300852.7;5045053.2;-73.55054968;45.54538152;0.4
4620030.00;55.07;464.95;520.02;300678.6;5045684.2;-73.55278413;45.55105855;0.3
4620031.00;28.47;133.1;161.57;300459.2;5044851;-73.55558666;45.54355975;0.25
4620032.00;31.96;114.15;146.11;300232.2;5044211.3;-73.5584884;45.53780168;0.13
4620033.00;58.91;50.08;108.99;300443.8;5044118.7;-73.55577784;45.53697049;0.16
4620034.00;321.15;273.76;594.91;300721.6;5044053.6;-73.55221968;45.53638641;0.22
4620035.00;113.2;213.86;327.06;300305.5;5043664.3;-73.55754427;45.53288044;0.18
4620036.00;142.51;312.92;455.43;300178.5;5043443.6;-73.55916909;45.53089326;0.19
4620037.00;16.38;145.07;161.45;300987.1;5043705.8;-73.54881856;45.53325789;0.51
4620038.00;118.44;63.25;181.69;300829.3;5043230.3;-73.55083506;45.52897851;0.22
4620039.00;29.19;140.47;169.66;301402.8;5043132.8;-73.54349189;45.52810427;0.47
4620040.00;0;17.35;17.35;302254;5041858.5;-73.53258751;45.51664118;2.09
4620041.00;111.35;237.4;348.75;300972.1;5042501.3;-73.54900019;45.52241902;0.26
4620042.00;63.67;48.55;112.22;300692.3;5042267.8;-73.55257995;45.52031674;0.1
4620043.00;62.78;242.65;305.43;300884.3;5042024;-73.55012118;45.5181238;0.34
4620044.00;135.35;429.47;564.82;300161.1;5042257.6;-73.55938026;45.52022168;0.14
4620045.00;36.84;154.98;191.82;300486.7;5042418.9;-73.55521365;45.52167522;0.12
4620046.00;72.65;380.85;453.5;300209.1;5042549.9;-73.55876776;45.5228519;0.16
4620047.00;0;88.84;88.84;300393.9;5042901.1;-73.55640552;45.52601378;0.12
4620048.00;25.06;157.78;182.84;300070.9;5043131.8;-73.5605429;45.52808718;0.14
4620049.00;162.99;522.85;685.84;299909.1;5042787.1;-73.56261073;45.52498456;0.16
4620050.00;246.42;125;371.42;299800.7;5042446.2;-73.56399556;45.52191622;0.07
4620051.00;375.24;600.24;975.48;299823.5;5041959.5;-73.56369834;45.51753671;0.22
4620052.00;193.98;526.51;720.49;300037.7;5041972.6;-73.56095655;45.51765642;0.14
4620053.00;195.67;434.96;630.63;300284.1;5041647.6;-73.55780009;45.5147336;0.1
4620054.00;72.03;139.23;211.26;300490.3;5041551.6;-73.55515996;45.51387099;0.15
4620055.01;635.91;636.65;1272.56;300536.8;5040803.3;-73.55455877;45.50713787;0.71
4620056.00;288.7;742.42;1031.12;299966.5;5040738.5;-73.56185626;45.50655095;0.29
4620057.00;35.65;46.43;82.08;300171.8;5041023.4;-73.55923145;45.50911598;0.14
4620058.00;184.64;261.44;446.08;300261;5041261.2;-73.5580923;45.51125584;0.15
4620059.00;501.69;799.37;1301.06;299746.7;5041460.7;-73.56467598;45.51304802;0.2
4620061.00;384.37;494.73;879.1;299460.5;5041039;-73.56833521;45.50925089;0.22
4620062.00;921.49;2780.12;3701.61;299428.3;5040329.7;-73.56873963;45.50286861;0.83
4620063.00;128.35;510.83;639.18;299133.4;5039557.4;-73.5725034;45.495916;0.36
4620064.00;298.15;467.28;765.43;298741;5039826;-73.57752808;45.49832967;0.24
4620065.01;109.77;206.6;316.37;298461.4;5039389.8;-73.58109957;45.49440257;0.14
4620065.02;141.04;381.35;522.39;298202.3;5039020.3;-73.58441009;45.49107523;0.15
4620066.01;26.21;153.09;179.3;298748.9;5039108.2;-73.57741782;45.49187089;0.22
4620066.02;37.87;63.99;101.86;298440.8;5038807;-73.58135563;45.48915765;0.18
4620067.00;13.94;0;13.94;298649.8;5038465.1;-73.57867784;45.48608312;0.15
4620068.00;26.44;0;26.44;299041.5;5038857;-73.57367085;45.4896127;0.18
4620069.00;68.38;218.19;286.57;299825.6;5039541.1;-73.56364758;45.4957752;0.69
4620070.00;394.99;599.86;994.85;300238.2;5039582.3;-73.55836858;45.49614855;0.62
4620071.00;15.68;0;15.68;300839.1;5038869.3;-73.55067356;45.48973667;0.47
4620072.00;128.11;253.31;381.42;301308.5;5038093.3;-73.54466349;45.48275617;2.58
4620073.00;0;39.46;39.46;300088.4;5038357.7;-73.56027358;45.48512768;0.33
4620074.00;84.06;159.61;243.67;299844.4;5037463.2;-73.56338582;45.47707719;0.4
4620075.00;23.64;36.06;59.7;299623.9;5037616.1;-73.5662079;45.47845178;0.31
4620076.00;39.4;42.27;81.67;299421.1;5037936;-73.56880528;45.48132875;0.35
4620077.00;109.18;75.27;184.45;299402;5038550.9;-73.5690561;45.48686143;0.42
4620078.00;112.76;98.37;211.13;298981;5038046;-73.57443632;45.48231459;0.39
4620079.00;123.18;509.98;633.16;298370;5037621.2;-73.58224623;45.47848667;0.61
4620081.00;0;153.91;153.91;297989.4;5037724.6;-73.58711548;45.47941354;0.26
4620083.00;44.72;0;44.72;297883.6;5036924.9;-73.58845803;45.47221661;0.43
4620084.00;49.56;67;116.56;297432.2;5036554.3;-73.59422485;45.4688768;0.37
4620086.00;18.18;169.4;187.58;298138.9;5035496;-73.58517356;45.45936087;0.52
4620087.00;55.16;91.19;146.35;297486.7;5035887.1;-73.59351905;45.4628739;0.26
4620088.00;82.85;105.12;187.97;297631;5035372.7;-73.59166637;45.45824696;0.33
4620089.00;81.02;95.04;176.06;297785.3;5034720.2;-73.58968342;45.45237715;0.51
4620090.00;139.63;166.23;305.86;297049.9;5034250.9;-73.5990789;45.44814635;0.45
4620091.00;0;46.27;46.27;296820;5033721;-73.60200887;45.44337525;0.99
4620092.00;50.48;423.5;473.98;296958.7;5034796;-73.60025249;45.45305047;0.56
4620093.00;39.46;109.82;149.28;296809.3;5035343.5;-73.60217155;45.45797496;0.73
4620094.01;41.43;86.86;128.29;296283.1;5036559.5;-73.60892088;45.46891119;1.78
4620094.02;0;28.76;28.76;295976.1;5035646.3;-73.61283128;45.46068986;1.88
4620095.00;61.08;0;61.08;296527.8;5037151.9;-73.60580218;45.47424483;0.23
4620096.00;125.78;256.43;382.21;296102.3;5036799.2;-73.61123787;45.47106575;0.19
4620097.01;100.36;49.15;149.51;295260.8;5036245;-73.62198875;45.46606745;0.35
4620097.02;66.45;22.55;89;294312.2;5035537.1;-73.63410541;45.45968425;0.39
4620098.00;49.03;97.96;146.99;292938.6;5035609.8;-73.65167;45.46031647;1.03
4620099.00;203.31;165.12;368.43;294485.4;5036069.9;-73.63190171;45.46448143;0.69
4620100.01;50.74;25.66;76.4;294011.2;5036562.2;-73.63797595;45.46890365;0.46
4620100.02;66.44;104.12;170.56;293693.6;5036017.4;-73.64202563;45.46399668;0.35
4620102.00;54.24;128.21;182.45;294411.5;5037109.1;-73.63286795;45.47383116;0.59
4620103.00;80.06;159.33;239.39;295151.1;5036628.1;-73.62339938;45.46951373;0.34
4620104.00;188.49;129.88;318.37;295469.5;5037041.4;-73.61933491;45.47323657;0.38
4620105.00;115.89;123.54;239.43;294829.9;5037440.9;-73.62752427;45.4768227;0.31
