idFeuillet;idPersonne;mtmx;mtmy;SRDOMI;nbPersLogi;facteurPersonne;facteurLogement;age;permis;statut;sexe;SRIDU
10007;10007 1;297915;5045403;4620204;1;21.52;27.03;61;1;1;1;4620204.00
10008;10008 1;294909;5038667;4620113;4;28.93;30.99;37;2;1;1;4620113.00
10008;10008 2;294909;5038667;4620113;4;28.93;30.99;39;1;1;1;4620113.00
10008;10008 3;294909;5038667;4620113;4;38.66;30.99;56;2;1;2;4620113.00
10008;10008 4;294909;5038667;4620113;4;35.86;30.99;25;1;7;2;4620113.00
10028;10028 1;299487;5043454;4620149;1;27.64;27.55;48;1;1;1;4620149.00
10035;10035 1;298392;5047159;4620200;1;35.32;27.03;42;2;1;1;4620200.00
10060;10060 1;299720;5043549;4620150;2;34.65;29.77;28;1;3;2;4620150.00
10060;10060 2;299720;5043549;4620150;2;37.81;29.77;28;1;1;1;4620150.00
10074;10074 1;299954;5038481;4620073;2;16.91;17.64;56;1;5;1;4620073.00
10074;10074 2;299954;5038481;4620073;2;13.7;17.64;59;1;1;2;4620073.00
10076;10076 1;293679;5045256;4620266;2;21;19.01;49;2;2;2;4620266.00
10076;10076 2;293679;5045256;4620266;2;16.63;19.01;54;1;1;1;4620266.00
10110;10110 1;298404;5043671;4620175;2;43.83;29.77;21;1;3;1;4620175.00
10110;10110 2;298404;5043671;4620175;2;29.87;29.77;48;1;1;1;4620175.00
10118;10118 1;298888;5046006;4620185;1;23.28;27.03;58;2;1;2;4620185.00
10132;10132 1;293522;5035955;4620100;2;38.44;29.34;29;1;1;2;4620100.00
10132;10132 2;293522;5035955;4620100;2;29.11;29.34;35;1;1;1;4620100.00
10143;10143 1;295174;5037854;4620110;2;29.88;30.37;33;1;1;2;4620110.00
10143;10143 2;295174;5037854;4620110;2;34.8;30.37;33;1;1;1;4620110.00
10145;10145 1;290931;5044060;4620268.01;1;25.53;25.84;56;1;1;1;4620268.01
10169;10169 1;292520;5045587;4620270;1;34.26;35.65;35;1;1;2;4620270.00
10185;10185 1;292445;5036451;4620382.01;2;26.97;24.15;75;1;4;1;4620382.01
10185;10185 2;292445;5036451;4620382.01;2;26.62;24.15;70;2;4;2;4620382.01
10189;10189 1;299070;5043505;4620147;2;26.34;29.77;50;1;1;2;4620147.00
10189;10189 2;299070;5043505;4620147;2;41.77;29.77;23;1;1;2;4620147.00
10219;10219 1;298117;5042824;4620160;1;23.15;27.55;59;1;4;2;4620160.00
10222;10222 1;297646;5045225;4620205;2;17.45;18.21;69;1;4;2;4620205.00
10222;10222 2;297646;5045225;4620205;2;20.29;18.21;76;1;4;1;4620205.00
10226;10226 1;294465;5036745;4620100;3;18.1;20.34;56;2;1;2;4620100.00
