stop_id,mtmx,mtmy,lat,lng,zone_id,SRIDU,stop_code,stop_name,countStopTimes
11020,294303.0,5041560.9,45.5138896215,-73.6343512314,1,4620121.00,MTL4B,gare Canora,120
11355,292458.0,5044137.9,45.5370481826,-73.6580302395,1,4620268.03,MTL37C,gare Chabanel,26
11355,292458.0,5044137.9,45.5370481826,-73.6580302395,1,4620268.03,MTL37A,gare Chabanel,26
11010,299590.0,5040009.9,45.4999926193,-73.5666664467,1,4620062.00,MTL5B,gare Centrale,134
11010,299590.0,5040009.9,45.4999926193,-73.5666664467,1,4620062.00,MTL5D,gare Centrale,136
11550,292096.0,5043912.9,45.5350170495,-73.6626595277,1,4620268.03,MTL59C,gare Ahuntsic,16
11550,292096.0,5043912.9,45.5350170495,-73.6626595277,1,4620268.03,MTL59A,gare Ahuntsic,16
11350,295132.0,5043514.9,45.5314844388,-73.6237794274,1,4620232.00,MTL8D,gare Parc,26
11160,296738.9,5037097.9,45.4737620423,-73.6030995912,1,4620094.01,MTL2C,gare Vendôme,84
11050,289868.0,5043238.9,45.5289079904,-73.6911657075,2,4620286.00,SLR2B,gare Du Ruisseau,104
11050,289868.0,5043238.9,45.5289079904,-73.6911657075,2,4620286.00,SLR2D,gare Du Ruisseau,106
11020,294303.0,5041560.9,45.5138896215,-73.6343512314,1,4620121.00,MTL4D,gare Canora,122
11150,299265.9,5039428.9,45.4947620353,-73.5708057507,1,4620063.00,MTL3A,gare Lucien-L'Allier,80
11150,299265.9,5039428.9,45.4947620353,-73.5708057507,1,4620063.00,MTL3C,gare Lucien-L'Allier,84
11040,291301.0,5042796.9,45.5249599471,-73.6728077522,1,4620421.02,SLR3B,gare Montpellier,104
11570,294635.0,5049238.9,45.5829837576,-73.6302614556,2,4620613.00,MTL57A,gare Saint-Michel - Montréal-Nord,16
11040,291301.0,5042796.9,45.5249599471,-73.6728077522,1,4620421.02,SLR3D,gare Montpellier,106
11570,294635.0,5049238.9,45.5829837576,-73.6302614556,2,4620613.00,MTL57C,gare Saint-Michel - Montréal-Nord,16
11060,288413.0,5042586.9,45.5230083857,-73.7097712986,2,4620416.02,SLR1D,gare Bois-Franc,106
11060,288413.0,5042586.9,45.5230083857,-73.7097712986,2,4620416.02,SLR1B,gare Bois-Franc,104
11350,295132.0,5043514.9,45.5314844388,-73.6237794274,1,4620232.00,MTL8B,gare Parc,26
11030,293486.0,5041896.9,45.5169003008,-73.6448157467,1,4620403.00,VMR1B,gare Mont-Royal,120
11030,293486.0,5041896.9,45.5169003008,-73.6448157467,1,4620403.00,VMR1D,gare Mont-Royal,122
11170,293714.0,5034869.9,45.4536719903,-73.6417387653,1,4620094.01,MTL1C,gare Montréal-Ouest,84
11170,293714.0,5034869.9,45.4536719903,-73.6417387653,1,4620094.01,MTL1A,gare Montréal-Ouest,80
11560,292749.0,5045509.9,45.5493989907,-73.6543379892,1,4620266.00,MTL58A,gare Sauvé,8
11560,292749.0,5045509.9,45.5493989907,-73.6543379892,1,4620266.00,MTL58C,gare Sauvé,8
11160,296738.9,5037097.9,45.4737620423,-73.6030995912,1,4620094.01,MTL2A,gare Vendôme,80
11360,290985.0,5044495.9,45.5402419365,-73.6769009374,2,4620268.01,MTL7D,gare Bois-de-Boulogne,26
11360,290985.0,5044495.9,45.5402419365,-73.6769009374,2,4620268.01,MTL7B,gare Bois-de-Boulogne,26
