terminalNa,stop_id,mtmx,mtmy,capacity,SRIDU,lat,lng,name
5002,443,303581.57,5043698.31,19,4620884.02,45.5332,-73.5156,St-Charles / Châteauguay
5003,444,303409.64,5043276.05,15,4620884.02,45.5294,-73.5178,Place Longueuil
5004,445,304116.51,5044434.36,10,4620884.02,45.539824,-73.508752,St-Charles/Charlotte
5005,446,303802.19,5044054.78,19,4620884.02,45.536408,-73.512776,St-Charles / St-Sylvestre
5006,447,305159.25,5044098.28,27,4620878.00,45.5368,-73.4954,Collège Édouard-Montpetit
5007,448,303262.88,5042659.75,47,4620884.01,45.523854,-73.519677,Métro Longueuil - Université de Sherbrooke
6001,1,300597.24,5040954.45,27,4620055.01,45.508498,-73.553786,Notre Dame / Place Jacques Cartier
6002,2,301596.57,5044364.13,21,4620023.00,45.539185,-73.541019,Dézery/Ste-Catherine
6003,3,299488.86,5041246.56,23,4620061.00,45.511119,-73.567974,Evans/Clark
6004,4,300586.19,5041349.59,0,4620054.00,45.5120536,-73.55393082,Berri / Saint-Antoine
6005,5,299416.24,5040938.79,23,4620061.00,45.508349,-73.5689,Président-kennedy/Jeanne Mance
6006,6,298735.07,5046318.49,26,4620201.00,45.556752,-73.577684,16e avenue/Rosemont
6007,7,299941.30,5041304.10,27,4620057.00,45.51164009,-73.56218398,de l'Hôtel-de-Ville / Sainte-Catherine
6008,8,299999.68,5041426.07,23,4620059.00,45.512738,-73.561438,Sanguinet /Ste-Catherine
6009,9,300129.75,5041635.65,2,4620051.00,45.51462481,-73.55977535,Berri / Sainte-Catherine
6011,11,300702.90,5041574.26,15,4620055.01,45.514076,-73.552439,Saint-André / Saint-Antoine
6012,12,299723.53,5041195.36,48,4620059.00,45.51066,-73.56497,Métro Saint-Laurent (Maisonneuve / St-Laurent)
6013,13,299912.86,5041498.59,7,4620059.00,45.51339,-73.56255,Sanguinet / de Maisonneuve
6014,14,299944.06,5041638.48,0,4620051.00,45.514649,-73.562152,St-Denis / de Maisonneuve
6015,15,300012.79,5041710.67,27,4620051.00,45.515299,-73.561273,Berri / de Maisonneuve
6016,16,301728.37,5036953.66,2,4620317.02,45.472503,-73.539285,Jacques Le Ber/Ch Pointe Nord
6017,17,299982.79,5042015.30,14,4620052.00,45.51804,-73.56166,St-Andre/Robin
6018,18,299836.77,5042109.87,17,4620052.00,45.51889,-73.56353,Saint-André / Ontario
6019,19,299549.57,5041992.98,27,4620143.00,45.517836,-73.567205,Berri / Sherbrooke
6020,20,299695.15,5041653.68,23,4620059.00,45.514784,-73.565338,Sanguinet / Ontario
6021,401,299450.34,5041625.75,15,4620059.00,45.51453084,-73.56847107,De l'Hôtel-de-Ville / Sherbrooke
6022,125,299703.82,5044626.21,18,4620187.04,45.541532,-73.565258,Molson / William - Tremblay
6023,22,300906.52,5041216.74,36,4620055.02,45.51086,-73.54983,de la Commune / Berri
6024,23,299908.63,5043496.40,15,4620036.00,45.531367,-73.562624,Des Érables/ Sherbrooke
6025,24,300492.97,5040804.04,0,4620055.01,45.50714392,-73.55511904,Notre-Dame / Saint-Gabriel
6026,25,300736.10,5040809.31,54,4620055.02,45.50719279,-73.55200768,de la Commune / Place Jacques-Cartier
6027,26,299093.97,5040310.19,7,4620062.00,45.50269,-73.573017,Maisonneuve/McGill College
6029,28,298205.86,5038105.45,23,4620080.00,45.482843,-73.584352,Belair/St-Antoine
6031,30,300173.87,5040509.33,15,4620055.01,45.50449,-73.5592,Saint-Antoine / Saint-François-Xavier
6032,31,300130.25,5040702.73,0,4620056.00,45.50623,-73.55976,Métro Place-d'Armes (Viger/St-Urbain)
6033,32,298364.97,5046653.26,27,4620201.00,45.559761,-73.582429,18e av/beaubien
6034,33,299868.47,5040888.52,39,4620056.00,45.5079,-73.563112,Saint-Urbain / René-Lévesque
6035,34,300017.61,5040544.23,3,4620056.00,45.504803,-73.5612,Viger/Jeanne Mance
6036,35,300610.95,5040462.19,43,4620055.02,45.50406857,-73.55360627,de la Commune / Saint-Sulpice
6037,36,300489.64,5040229.55,14,4620055.01,45.50197438,-73.55515659,Saint-Nicolas / Place d'Youville
6038,37,300450.13,5039982.38,23,4620055.01,45.49975,-73.55566,McGill / d'Youville
6039,38,300202.79,5040096.91,12,4620055.01,45.500779,-73.558826,McGill / des Récollets
6040,39,300176.07,5040321.52,22,4620055.01,45.5028,-73.55917,Saint-Jacques / Saint-Pierre
6041,40,300026.48,5040085.37,10,4620069.00,45.500674,-73.561082,Saint-Jacques / Gauvin
