stop_id,mtmx,mtmy,lat,lng,wheelchair,SRIDU,stop_name,countStopTimes,countStopTimesSemaine,countStopTimesSamedi,countStopTimesDimanche
1,291726.58,5046257.74,45.556109,-73.667452,1,4620278.00,Station Henri-Bourassa,30,6,6,6
10,299467.89,5042049.61,45.518345,-73.568251,2,4620141.00,Station Sherbrooke,20,4,4,4
100007,296389.43,5048949.92,45.580406,-73.607774,1,4620259.00,Robert / Cluny,415,87,82,82
100009,289964.47,5044637.47,45.541494,-73.689973,2,4620281.00,du Bois-de-Boulogne / stationnement,8,8,0,0
100010,289940.26,5044636.97,45.541489,-73.690283,2,4620281.00,du Bois-de-Boulogne / stationnement,8,8,0,0
100011,290859.27,5044222.67,45.53778,-73.678503,2,4620268.02,Henri-Bourassa / du Bois-de-Boulogne,8,8,0,0
100013,301197.92,5051602.92,45.60432,-73.546177,2,4620192.00,Yves-Prévost / Joseph-Renaud,10,10,0,0
100014,301953.38,5045193.00,45.546645,-73.536455,2,4620017.00,Sainte-Catherine / d'Orléans,10,10,0,0
100015,301948.47,5045216.90,45.54686,-73.536518,2,4620017.00,Sainte-Catherine / d'Orléans,10,10,0,0
100016,301345.53,5044280.58,45.538432,-73.544233,2,4620029.00,Moreau / Adam,10,10,0,0
100062,297158.42,5043445.25,45.530882,-73.597834,1,4620171.00,Station Rosemont (Saint-Denis / Rosemont),1919,321,416,394
100063,303831.39,5049024.92,45.581131,-73.512412,2,4620008.00,des Futailles / Notre-Dame,344,70,70,68
100065,287906.73,5041978.96,45.517525,-73.716231,2,4620287.02,Henri-Bourassa / No 5700,413,92,83,76
100066,297127.68,5047488.47,45.567264,-73.598291,1,4620258.00,Villeray / 20e Avenue,348,74,70,68
100067,301408.26,5037815.97,45.480261,-73.543385,2,4620072.00,Marc-Cantin / Fernand-Seguin,54,54,0,0
100068,301327.77,5037592.09,45.478246,-73.544413,2,4620072.00,Marc-Cantin / Studios Mel's,110,110,0,0
100069,294025.73,5046880.70,45.561754,-73.638017,1,4620263.00,Papineau / de Louvain,518,144,96,86
100071,296759.13,5036850.81,45.471538,-73.602838,1,4620352.00,Décarie / CUSM,300,60,60,60
100072,296825.79,5037004.64,45.472923,-73.601988,1,4620083.00,CUSM,600,120,120,120
100073,298585.93,5038164.74,45.48338,-73.579491,1,4620080.00,Station Lionel-Groulx  (Saint-Jacques / Atwater),600,120,120,120
100074,299921.39,5036696.65,45.47018,-73.562393,2,4620074.00,Gaétan-Laberge / Gilberte Dubé,438,86,88,88
100075,299875.37,5036436.75,45.467841,-73.562979,2,4620074.00,Gaétan-Laberge / Rhéaume,438,86,88,88
100079,299892.29,5036081.23,45.464642,-73.562759,2,4620072.00,Gaétan-Laberge / Hickson,447,87,90,90
100080,299928.22,5036224.01,45.465927,-73.562301,2,4620074.00,Gaétan-Laberge / No 3750,447,87,90,90
100081,299906.48,5036423.94,45.467726,-73.562581,2,4620074.00,Gaétan-Laberge / Rhéaume,447,87,90,90
100082,299959.40,5036703.51,45.470242,-73.561907,2,4620074.00,Gaétan-Laberge / Gilberte Dubé,447,87,90,90
100083,299904.22,5036226.69,45.465951,-73.562608,2,4620074.00,Gaétan-Laberge / No 3750,438,86,88,88
100084,299870.57,5036101.81,45.464827,-73.563037,2,4620072.00,Gaétan-Laberge / Hickson,438,86,88,88
100085,291258.53,5040826.62,45.507229,-73.673297,2,4620403.00,Saint-Louis / Gohier,288,70,53,43
100086,295935.70,5044418.81,45.539628,-73.613506,1,4620217.00,Jean-Talon / De Chateaubriand,1919,321,416,394
100087,296680.99,5043954.61,45.53546,-73.603955,2,4620173.00,De Chateaubriand / Beaubien,959,160,208,197
100088,296613.77,5043793.33,45.534008,-73.604813,2,4620210.00,Saint-Denis / Beaubien,960,161,208,197
100092,297558.61,5044153.01,45.537255,-73.592721,1,4620173.00,Rosemont / Chambord,291,80,54,49
100096,301559.02,5045596.15,45.550271,-73.541508,1,4620015.00,Pie-IX / Ontario,30,6,6,6
100103,301534.28,5046810.50,45.561198,-73.541833,2,4620015.00,Viau / Hochelaga,474,111,96,89
