SRIDU;1kmCountBIXIstops;500mCountBIXIstops;1kmCountBIXIcapacity;500mCountBIXIcapacity;1kmCountAMTstops;500mCountAMTstops;1kmCountAMTcountStopTimes;500mCountAMTcountStopTimes;1kmCountSTMstops;500mCountSTMstops;1kmCountSTMcountStopTimes;500mCountSTMcountStopTimes;1kmCountSTMcountStopTimesSemaine;500mCountSTMcountStopTimesSemaine;1kmCountSTMcountStopTimesSamedi;500mCountSTMcountStopTimesSamedi;1kmCountSTMcountStopTimesDimanche;500mCountSTMcountStopTimesDimanche;age;permis;pop;hommes;femmes;statut_1;statut_2;statut_3;statut_4;statut_5;statut_6;statut_7;statut_8
4620361.00;7.8;2.7;163.3;67.6;0.0;0.0;0.0;0.0;62.8;20.9;53879.1;19728.8;14073.3;5071.5;10578.0;3930.6;9609.2;3508.9;36.7;0.228;1638.6499999999999;840.0199999999999;798.6299999999998;534.01;0;655.7699999999999;270.77;0;55.010000000000005;123.08999999999999;0
4620115.02;2.7;0.4;59.6;10.2;0.0;0.0;0.0;0.0;62.5;22.3;60847.9;22535.7;14531.7;5165.6;12264.3;4535.2;10735.7;4038.4;45.8;0.315;5282.810000000002;2050.49;3232.320000000003;1887.3199999999988;357.30999999999995;1127.8;1353.6800000000005;143.75;91.35;321.6000000000001;0
4620216.00;29.9;7.7;492.3;128.1;0.0;0.0;0.0;0.0;109.4;27.0;69085.3;22068.8;18652.4;5747.8;14096.2;4738.4;11994.7;3858.8;30.8;0.293;2743.0499999999997;1587.32;1155.73;1312.41;169.9;712.56;109.67;72.14;197.19;169.18;0
4620208.00;23.7;6.1;376.6;87.9;0.0;0.0;0.0;0.0;97.8;32.4;56318.7;20942.9;15079.4;5858.9;11109.0;4082.0;9836.8;3575.8;43.3;0.247;2629.6699999999996;1294.28;1335.3899999999996;1200.2299999999998;201.66;351.63;615.36;24.11;169.43;67.25;0
4620272.00;2.7;1.3;30.0;18.3;0.0;0.0;0.0;0.0;84.7;20.6;52723.3;13724.4;15641.7;4088.6;9540.0;2473.7;8547.3;2216.0;38.8;0.246;4151.220000000002;1644.0700000000002;2507.1499999999996;1901.8799999999992;194.58999999999997;932.6299999999999;704.8600000000001;67.37;191.9;157.99;0
4620287.02;0.0;0.0;0.0;0.0;0.1;0.0;15.2;3.1;56.9;17.0;35234.2;9284.9;9162.3;2506.4;7057.8;1823.8;6056.3;1571.0;43.2;0.182;3928.540000000001;1834.9399999999996;2093.6000000000004;1382.57;134.67000000000002;1092.9399999999998;977.9300000000004;119.09;86.49;134.85;0
4620097.01;6.0;2.1;72.6;18.2;0.0;0.0;0.0;0.0;78.8;24.1;65597.1;22559.1;16622.2;5814.0;13379.6;4609.7;11324.8;3870.1;36.5;0.213;5656.639999999997;2747.2199999999993;2909.420000000001;2313.86;254.73000000000002;1377.2099999999998;770.0699999999998;129.17999999999998;414.55999999999995;397.03;0
4620109.00;4.1;1.0;57.9;16.9;0.0;0.0;0.0;0.0;113.2;27.4;70107.3;17407.5;17146.5;4275.8;14165.5;3523.5;12336.0;3069.1;33.9;0.149;2539.2000000000003;1091.2400000000002;1447.96;1113.01;223.51;664.6200000000001;228.97;50.14;190.73;68.22;0
4620005.00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.9;18.8;35618.9;9592.3;8183.7;2192.3;6966.9;1885.3;6780.3;1819.9;40.4;0.25;3419.5899999999992;1570.54;1849.0500000000004;1542.1399999999999;167.91000000000003;585.29;689.76;151.26;161.63;121.6;0
4620242.00;16.9;5.0;236.0;70.8;0.0;0.0;0.0;0.0;120.7;32.2;55542.3;14792.2;12795.6;3314.2;11117.3;2949.5;10293.7;2780.6;40.8;0.338;6950.679999999999;3472.1000000000004;3478.5800000000017;2463.1899999999996;173.24999999999997;1888.2300000000002;1672.3599999999992;189.68;260.08;303.89;0
4620110.00;4.7;1.1;70.2;17.8;0.0;0.0;0.0;0.0;111.5;38.9;71343.2;22921.1;17620.5;5633.4;14422.2;4659.9;12412.9;3928.4;38.0;0.323;5001.29;2068.639999999999;2932.6500000000005;2015.3299999999995;301.59999999999997;1384.19;655.5899999999999;195.64999999999998;215.98;232.95;0
4620268.01;0.0;0.0;0.0;0.0;2.1;0.5;46.3;12.4;71.3;19.6;45419.7;11270.4;11958.5;2792.0;8855.6;2252.4;7902.7;2016.9;44.4;0.243;5956.919999999997;2725.6200000000013;3231.3000000000006;2133.9799999999996;237.90999999999997;930.3699999999998;1696.680000000001;215.79;311.5;430.6899999999999;0
4620102.00;4.6;1.1;61.8;15.8;0.0;0.0;0.0;0.0;109.7;23.2;73128.5;15117.9;18401.7;3731.8;14817.5;3073.7;12723.3;2692.5;42.1;0.234;4837.219999999999;2121.74;2715.4799999999996;2224.210000000001;294.28000000000003;1026.8999999999999;817.0500000000005;176.57999999999998;81.03;217.17000000000002;0
4620067.00;23.0;5.0;407.5;109.6;0.3;0.0;22.7;0.0;121.3;27.7;75005.0;13899.6;17805.0;3250.9;15191.0;2765.3;13436.0;2592.3;31.2;0.318;1705.04;900.06;804.98;609.3300000000002;91.72999999999999;555.81;84.12;55.94;150.66;157.45000000000002;0
4620149.00;36.9;10.6;649.8;178.7;0.0;0.0;0.0;0.0;140.5;36.0;78225.6;20210.4;19854.8;5570.9;15478.3;3921.2;13845.0;3388.7;37.4;0.208;3813.1499999999996;2038.11;1775.0399999999995;1922.2599999999995;240.29000000000002;692.23;479.16;77.09;169.10000000000002;233.02;0
4620267.00;1.7;0.0;23.7;0.0;1.2;0.1;24.3;1.6;102.6;26.4;52273.9;11597.9;15310.5;3401.0;10031.3;2219.6;8501.9;1879.8;41.1;0.303;5644.209999999998;2769.2899999999995;2874.9199999999996;2190.759999999999;273.30999999999995;1101.7300000000002;1314.8300000000004;147.31;221.72999999999996;394.54;0
4620182.00;17.5;6.1;309.3;114.5;0.0;0.0;0.0;0.0;100.2;22.3;58989.4;12254.6;14981.5;3012.3;11511.2;2371.1;10298.6;2146.8;36.2;0.163;1968.8699999999997;915.5099999999998;1053.3600000000001;1009.9599999999998;162.28;295.95;254.12;48.489999999999995;127.37;70.7;0
4620141.00;47.6;12.9;855.1;217.6;0.0;0.0;0.0;0.0;131.5;37.7;78718.1;20870.7;20030.5;4891.9;15996.4;4284.2;13955.1;3857.3;37.2;0.146;1439.0199999999998;720.8800000000001;718.1400000000001;778.4399999999998;75.9;186.37;88.11;95.62;95.24;119.34;0
4620083.00;5.7;2.9;94.6;53.6;0.0;0.0;1.5;0.0;87.9;23.3;46090.4;12288.5;10333.6;2722.4;9295.0;2526.3;8726.6;2346.6;36.8;0.222;3571.93;1631.8700000000003;1940.0599999999993;1798.3699999999997;108.61000000000001;603.3400000000001;454.79;159.01;277.75;170.05999999999997;0
4620228.00;17.6;6.0;233.0;79.0;0.4;0.0;9.5;0.0;101.4;24.5;44931.1;13653.0;11942.5;3610.6;9279.2;2943.6;7562.6;2217.9;35.7;0.163;1841.7800000000002;728.81;1112.9699999999998;760.79;149.6;420.28000000000003;111.56;133.05;132.72;133.78;0
4620162.00;41.5;11.6;736.5;210.6;0.0;0.0;0.0;0.0;129.2;40.5;89823.3;31511.1;23000.6;8060.3;18378.6;6604.9;15876.4;5527.2;36.5;0.186;1880.8500000000001;889.5899999999998;991.2600000000001;981.44;160.19;396.16999999999996;193.70000000000002;0;104.82;44.53;0
4620098.00;0.7;0.2;6.6;2.0;0.5;0.2;39.2;12.0;72.9;20.8;51430.4;15995.2;12937.8;3993.7;10516.8;3280.7;9053.2;2831.0;38.2;0.217;6383.61;3014.0599999999986;3369.5499999999997;2669.750000000001;356.63;1753.3600000000004;974.3800000000005;49.33;262.71999999999997;317.44000000000005;0
4620250.00;10.7;1.7;152.5;26.6;0.0;0.0;0.0;0.0;136.6;31.8;76899.2;14032.9;18831.4;3160.3;15188.4;2796.7;13550.9;2623.5;40.3;0.304;3602.42;1755.9400000000003;1846.4800000000002;1556.1200000000001;171.42000000000002;834.2400000000002;524.5;90.62;149.15;276.37;0
4620010.00;1.4;0.5;25.2;8.8;0.0;0.0;0.0;0.0;62.4;22.6;24034.4;8545.1;5949.2;2103.6;4713.4;1673.3;4399.2;1585.4;39.6;0.216;1389.23;717.77;671.4599999999999;572.9;30.58;322.65000000000003;225.37;45.67;93.56;98.5;0
4620091.00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.1;26.3;40109.9;22152.7;10082.2;5508.3;8019.8;4453.2;7336.0;4063.7;65.9;0.574;387.1700000000001;112.09;275.08000000000004;40.06;0;27.33;294.90999999999997;0;24.87;0;0
4620038.00;16.4;5.9;255.0;88.1;0.0;0.0;0.0;0.0;91.1;33.2;54095.4;20399.4;12113.6;4413.5;10888.6;4148.8;10211.4;3916.9;41.5;0.385;1693.52;871.03;822.4899999999999;778.33;93.13;262.81;218.83;154.57;0;185.85;0
4620018.00;7.6;2.9;129.5;53.8;0.0;0.0;0.0;0.0;82.9;25.4;41373.8;12144.1;9498.7;2802.7;8316.3;2437.5;7403.7;2160.6;37.5;0.292;2107.2600000000007;1263.3100000000002;843.9499999999998;880.87;151.16000000000003;390.69999999999993;286.81;57.91;155.45000000000002;184.36;0
4620165.00;22.1;5.7;379.0;107.2;0.0;0.0;0.0;0.0;84.0;23.3;61641.5;17000.4;16653.2;4724.6;12365.3;3278.7;10705.1;2938.9;31.9;0.426;1220.2200000000003;677.3299999999999;542.8899999999999;349.9899999999999;131.4;337.09;119.59;100.28;125.22;56.650000000000006;0
4620276.00;0.5;0.0;6.9;0.0;0.0;0.0;0.0;0.0;57.8;19.8;40605.2;15609.2;11502.9;4300.7;7512.1;2927.6;6629.8;2581.2;39.1;0.151;5386.88;2499.5900000000006;2887.290000000001;2229.39;273.73;1061.4599999999998;948.1400000000001;58.21;452.8699999999999;344.44999999999993;18.63
4620037.00;19.0;4.9;316.6;67.5;0.0;0.0;0.0;0.0;101.7;27.8;62956.1;18063.2;14684.0;3894.6;12637.9;3668.6;11658.8;3477.3;51.7;0.523;3061.21;1308.8600000000001;1752.3499999999995;1082.58;140.52;402.03000000000003;1285.8599999999997;68.67;0;81.55;0
4620187.02;13.2;3.0;234.6;52.3;0.0;0.0;0.0;0.0;109.7;26.9;69087.8;18452.0;16731.6;4568.4;13636.2;3637.2;12134.8;3190.7;40.9;0.247;12296.62;5670.9;6625.719999999999;6128.619999999998;380.41999999999996;2283.0099999999998;2292.170000000001;244.85000000000002;549.7099999999999;417.8400000000001;0
4620012.01;3.0;0.7;53.0;11.4;0.0;0.0;0.0;0.0;95.1;29.1;43864.5;12002.9;11023.3;3033.1;8630.5;2382.2;7779.1;2044.0;43.6;0.272;2821.8600000000006;1224.7799999999995;1597.08;995.03;134.76999999999998;593.93;829.95;84.33;78.4;105.44999999999999;0
4620154.00;26.4;5.5;500.1;111.9;0.0;0.0;0.0;0.0;131.0;32.8;69177.5;16453.4;17285.6;3931.5;13519.7;3241.3;12482.0;3061.9;38.0;0.052;402.90999999999997;255.2;147.71;290.52;20.84;20.0;16.37;21.71;17.67;15.8;0
4620278.00;4.5;1.3;55.0;8.5;0.0;0.0;0.3;0.0;84.8;25.1;62122.7;17892.5;17717.5;5137.0;11738.9;3346.3;10304.8;2971.3;40.6;0.166;5146.27;2653.590000000001;2492.6800000000007;2094.7799999999993;183.62;1254.0299999999993;1107.8100000000002;153.51;144.51999999999998;208.00000000000003;0
4620113.00;3.4;0.9;48.5;11.9;0.0;0.0;0.0;0.0;105.4;25.5;66730.7;16992.8;16567.4;4135.6;13285.0;3417.5;11858.0;3092.5;36.3;0.245;5543.580000000001;2506.5899999999997;3036.99;2313.12;314.99;1361.6100000000004;705.7100000000003;109.5;402.56;336.09000000000003;0
4620117.00;6.1;2.8;98.6;44.1;0.0;0.0;0.0;0.0;101.6;25.4;72214.6;16572.4;17928.1;4202.5;14326.9;3219.3;12737.4;2932.3;31.9;0.307;4149.58;2208.870000000001;1940.71;1551.4299999999998;209.54000000000002;1328.06;249.29000000000002;251.60000000000002;284.11;275.54999999999995;0
4620008.00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.0;13.4;23008.7;6375.3;5317.5;1493.9;4484.9;1228.0;4401.5;1227.0;40.0;0.117;3086.8200000000006;1553.68;1533.1400000000003;1542.4299999999998;83.85000000000001;617.73;551.83;44.349999999999994;128.3;118.32999999999998;0
